Date,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),RR307:TCH Availability%,2G Availability(%)
9/11/2023,Abha,45180Abha,897.84,5.0469,2.8532,99.6306,96.2899,0.3556,0.2537,99.1568,98.8329,92.3077,0.0111,0,5.2742,96.4689,97.0773,96.5429,0.14,99.9729,99.9702
9/11/2023,Khamis Mushait,45180Khamis Mushait,1668.9,5.9271,3.8538,99.4561,94.9345,0.3879,0.4247,98.5467,98.6189,95.1442,0.0011,0,14.5397,96.7457,97.5121,96.9789,80.82,99.0714,99.4654
9/11/2023,Bishah,45180Bishah,363.84,2.2757,1.5272,99.6095,80.4601,0.2621,0.3126,99.3299,99.3467,96.5517,0,0,1.8822,98.9107,95.136,98.8474,4.3,99.9819,99.988
9/11/2023,Abu Arish,45180Abu Arish,1092.01,2.1677,1.1844,99.4953,94.7365,0.5011,0.4038,98.985,98.872,90.5207,0.0081,0,1.5255,97.5525,98.06,97.7461,16.98,99.8219,99.8243
9/11/2023,Muhayel,45180Muhayel,250.12,2.2927,2.1334,99.6074,96.0736,0.3237,0.3042,97.9053,97.9094,93.7107,0.1602,0,0.1742,99.0575,96.5052,99.1005,0,97.488,99.4368
9/11/2023,Jizan,45180Jizan,1252.63,4.1215,2.8559,99.6671,96.2539,0.3707,0.2541,98.9812,99.0849,92.6513,0.0197,0,1.5037,98.1761,98.7716,98.2315,9.01,99.6134,99.6177
9/11/2023,Najran,45180Najran,2282.83,8.0751,4.9482,99.7689,97.0446,0.3284,0.1637,99.5469,99.5594,93.6269,0.1125,0,2.3586,98.3946,98.6829,98.4874,22.45,100,100
9/11/2023,Sabya,45180Sabya,2280.69,2.535,1.7571,99.5314,94.6606,0.4234,0.3867,99.2399,99.3257,91.7774,0.0707,0,1.2159,97.4427,98.2011,97.8309,238.24,98.379,98.4274
9/11/2023,Southern Region All,45180Southern Region All,60506.16,126.449,82.2629,99.3723,103.3462,0.9853,0.4385,95.894,96.6047,96.2325,0.3169,0.0321,2.916,97.8723,96.961,97.6327,1964.74,98.5725,98.6157
9/11/2023,Southern Region,45180Southern Region,36607.64,101.0666,64.566,99.4139,103.6491,0.6658,0.4522,96.5472,96.7752,95.6907,0.2483,0.0023,3.4602,98.106,97.4868,97.8018,977.98,99.0495,99.1152
9/11/2023,USF8,45180USF8,23715.52,23.9508,16.7347,99.2543,102.1527,2.102,0.3528,94.3709,96.2536,97.4571,0.7222,0.1466,0.4851,96.7727,90.1631,96.7992,985.2,96.9314,96.9518
9/11/2023,Remote Aseer,45180Remote Aseer,7032.25,23.8917,17.3727,99.0342,109.4987,1.2096,0.7726,96.9994,98.5838,96.3609,0.6256,0,3.622,97.1855,97.8391,97.2029,70.16,98.6675,98.6409
9/11/2023,Remote Jizan,45180Remote Jizan,15572.83,24.6512,15.3223,99.4735,110.5807,0.6911,0.3558,94.7693,94.8967,95.331,0.1774,0.0068,1.6141,99.0528,97.0066,98.0948,522.37,98.3857,98.2331
9/11/2023,Remote Najran,45180Remote Najran,3852.3,20.5577,11.208,99.4509,111.5253,0.8051,0.4195,92.7594,90.8053,97.4252,0.1516,0,1.0431,99.1677,97.8081,98.3491,15.08,99.5036,99.7046
9/11/2023,E735,45180E735,10685.54,19.5999,12.5269,99.5495,97.2974,0.5309,0.347,96.9556,97.1452,95.6514,0.1829,0,1.2271,98.0696,97.4527,98.0001,265.92,98.155,98.1138
9/11/2023,E771,45180E771,2401,11.2994,7.0816,99.4452,98.4796,0.7559,0.404,98.5796,98.5782,96.1114,0.122,0,6.1255,96.5303,97.0326,96.6646,14.08,98.9261,98.9024
9/11/2023,E770,45180E770,952.57,9.1489,4.3719,99.6608,127.9142,1.1334,0.238,95.1019,95.0957,96.8783,0.0009,0,1.3641,99.0999,98.2911,97.8583,0.2,99.2381,99.9242
9/11/2023,E773,45180E773,1039.52,7.8234,6.5514,99.1842,102.8225,0.969,0.6888,94.5707,98.8194,96.9171,1.5433,0,0.7867,96.992,97.5736,97.3623,0.2,97.0078,97.7911
9/11/2023,E774,45180E774,1797.01,6.3827,4.714,99.4845,98.1615,1.3011,0.371,99.1271,99.3381,96.5111,0.0179,0,1.6465,99.154,96.2242,98.7849,4.36,99.4915,99.537
9/11/2023,E775,45180E775,9560.81,13.9241,8.6339,99.461,115.7868,0.7133,0.3498,94.6415,94.658,94.8092,0.0731,0.01,2.1078,99.9254,97.5346,98.1871,520.68,99.5453,99.5285
9/11/2023,E776,45180E776,4539.53,17.9769,10.7577,99.574,100.8495,0.4841,0.331,94.2278,92.4556,97.3274,0.1496,0,1.7201,98.7294,97.9856,98.4792,37.33,99.7971,99.7872
9/11/2023,E777,45180E777,3610.36,8.8329,5.7352,98.6818,113.5798,0.918,1.1563,97.048,98.777,96.8535,0.3908,0,2.5292,97.9093,98.3195,97.3667,54.32,99.92,99.9228
9/11/2023,E778,45180E778,2204.31,7.51,5.1556,99.3992,95.4064,0.5203,0.449,98.3197,98.3411,92.7505,0.0106,0,12.1317,97.0651,98.2387,97.3753,82.46,99.1194,99.4955
9/11/2023,E291,45180E291,23715.52,23.9508,16.7347,99.2543,102.1527,2.102,0.3528,94.3709,96.2536,97.4571,0.7222,0.1466,0.4851,96.7727,90.1631,96.7992,985.2,96.9314,96.9518
9/11/2023,Southern Remote,45180Southern Remote,26457.38,69.1005,43.9029,99.2961,110.4737,0.8342,0.5349,95.2325,95.5501,95.8011,0.3568,0.0039,2.4175,98.3133,97.6187,97.7699,607.6,98.7063,98.7202
9/11/2023,Southern City,45180Southern City,10088.87,32.4418,21.1132,99.6091,95.0979,0.3816,0.3009,99.0344,99.0211,93.128,0.046,0,5.3104,97.6076,97.2803,97.7771,371.94,99.5342,99.7078
9/11/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45180Cluster=Aseer CL2,Rule Name=Opt Clusters",3056.64,10.825,7.791,99.085,95.6233,0.6806,0.7389,98.3555,98.3397,95.624,0.0076,0,13.2821,96.5841,97.7922,96.9063,83.97,98.6236,98.9056
9/11/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45180Cluster=Aseer CL1,Rule Name=Opt Clusters",1606.09,7.2055,4.4383,99.4085,98.6316,0.4969,0.4589,98.5719,98.6186,95.574,0.1281,0,4.8706,96.0827,97.4405,96.1828,9.71,99.9821,99.9805
