Date,Time,GCell Group,Integrity,K3014:Traffic Volume on TCH(Erl),PS DL Traffic (GB),PS UL Traffic (GB),Call_Setup_Success_Rate_Portal(%),MSC Assignment Attempt Rate(%),DCR_Portal_new(%),SDCCH Drop Rate_Portal(%),Handover Success Rate _Portal_new(%),Incoming_HSR(%),Incoming Inter RAT HO Success Rate,SDCCH Blocking_Portal(%),TCH_congestion_Portal(%),"Interference%_Band(3,4,5)",AM_Location_Update_SR(%),TBF SR(%),Immediate assign success rate(%),VAMOS traffic(Erl),2G Availability
2023-11-14,00:00,Southern Region,1,905.22,3.4438,2.0678,99.5095,110.9259,0.7921,0.3719,97.0296,97.1455,95.6434,0.0384,0,3.7678,98.3184,97.0203,98.2642,14.88,99.4205
2023-11-14,00:00,USF8,1,307.38,0.5188,0.3721,99.8071,103.5668,1.9761,0.1929,92.2966,95.366,98.505,0,0,0.2608,98.1847,90.3956,98.151,4.61,98.9801
2023-11-14,00:00,Southern Remote,1,661.62,2.2825,1.3988,99.5148,128.1678,0.8428,0.354,96.1058,96.12,95.7118,0.0426,0,2.4027,98.5153,97.1065,98.3298,10.68,99.4774
2023-11-14,00:00,Southern City,1,243.97,1.1849,0.6863,99.4801,95.4643,0.6839,0.4179,99.208,99.5094,94.2446,0.0304,0,5.9057,97.5917,96.8554,97.834,4.21,99.3401
2023-11-14,00:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,54.9,0.4098,0.2177,99.3783,96.2596,1.6411,0.394,98.4925,98.3292,94.8454,0,0,15.5939,97.1651,96.9774,97.3772,0.01,98.9998
2023-11-14,00:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,24.35,0.2011,0.1525,99.5523,104.3165,0.9112,0.2183,99.393,99.3921,97.7778,0.0017,0,5.2955,96.368,96.8623,96.6794,0.29,98.3273
2023-11-14,00:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,50.52,0.443,0.3704,99.5371,108.7591,1.766,0.4629,99.6008,99.7009,96.6102,0.0022,0,2.1723,98.8399,96.7665,98.9974,0.01,99.2548
2023-11-14,00:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,70.6,0.4107,0.2422,99.4701,116.9811,1.1905,0.3692,93.3706,99.4954,99.2537,0.0029,0,1.6426,98.1246,97.0625,98.2733,1.29,99.9769
2023-11-14,00:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,67.22,0.6331,0.3099,99.3366,102.2538,0.3042,0.5009,99.5757,91.5789,96.875,0.038,0,1.4546,98.5039,98.1366,98.4777,0.08,100
2023-11-14,00:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,10.11,0.2264,0.1349,99.4957,124.2009,1.9355,0.1372,87.8307,87.8307,90.9091,0,0,0.361,99.2519,96.0496,98.886,0,100
2023-11-14,00:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,326.99,0.6101,0.3208,99.5664,122.2104,0.7207,0.3759,96.5732,96.3285,96.8208,0.0912,0,0.9273,98.2586,97.8042,97.7583,9.13,99.2882
2023-11-14,00:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,300.89,0.5333,0.3367,99.5506,108.5722,0.5317,0.3441,97.491,97.7358,93.1701,0.08,0,0.9446,98.8683,96.9436,98.6813,4.08,99.9158
2023-11-14,00:00,Aseer Province,1,197.29,1.4645,0.985,99.44,104.1148,1.3578,0.3768,99.068,99.1702,97.1239,0.0015,0,6.2457,97.6335,96.8781,97.8798,1.59,99.1438
2023-11-14,00:00,Jazan Province,1,626.83,1.1424,0.6546,99.5594,114.5777,0.6232,0.3579,97.0495,97.0577,95.2591,0.0848,0,0.9402,98.5909,97.3372,98.2804,13.22,99.6055
2023-11-14,00:00,Najran Province,1,81.45,0.8606,0.4455,99.3835,106.7261,0.7105,0.4244,90.0982,90.894,95.6098,0.0301,0,1.2258,98.6901,97.2875,98.5719,0.08,100
2023-11-14,01:00,Southern Region,1,615.92,2.7476,1.7587,99.4321,111.2416,1.1184,0.3951,97.2764,97.29,95.1414,0.0818,0,3.4699,98.0306,97.3001,98.0292,5.35,99.2492
2023-11-14,01:00,USF8,1,180.96,0.5176,0.305,99.5207,98.9011,2.4482,0.2329,92.2021,99.5255,96.6387,0.5596,0.1235,0.2254,97.2107,96.9077,97.2006,0.34,98.9847
