Date,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %,RRC Cong,CS Cong,PS Cong,CS Drops,PS Drops
9/11/2023,RNC701,45180RNC701,9543.72,5522.5001,751.4258,1236.2213,99.9845,99.9462,99.7858,0.2323,0.2872,97.176,3493.5019,-103.684,23.3121,18.0814,38.8325,98.5104,97.1518,457,285257,12070,0,0,285257,831954,3.144,3.7779,4.09,5310,6888,684909,98.9493,0,0,0,768,22350
9/11/2023,RNC704,45180RNC704,8103.53,3283.7693,476.5915,591.5183,99.9895,99.9243,99.8938,0.1254,0.1447,97.6987,3386.9505,-104.8003,23.1427,18.2275,39.9821,98.6569,97.6764,305,310448,6632,0,0,310448,141943,3.1317,3.7613,4.1188,5258,6983,57943,99.8323,0,0,1,410,9296
9/11/2023,RNC703,45180RNC703,7059.09,1790.343,294.7189,489.3591,99.9882,99.9271,99.8306,0.2338,0.2996,92.1769,3099.3264,-100.321,23.0467,17.6491,38.5785,98.5356,92.0204,47,223355,6168,0,0,223355,261501,3.1355,3.75,4.0923,5370,6974,121259,99.6197,0,0,0,565,11041
9/11/2023,RNC705,45180RNC705,26541.09,8897.6619,1271.6915,1824.9782,99.9928,99.8749,99.6178,0.1345,0.3357,95.3681,3108.0821,-104.4898,22.3943,18.1561,40.2362,99.1617,95.3379,4271,982195,21365,0,0,982195,855810,3.1221,3.7633,4.0827,5559,7046,700201,98.7509,248,0,63,1462,31435
9/11/2023,RNC706,45180RNC706,2844.98,4591.3739,514.5538,579.025,99.9857,99.854,99.6799,0.3313,0.3085,96.6418,4442.5148,-105.1771,24.2134,18.8533,39.5935,99.1288,96.6418,239,76896,3440,0,0,76896,312084,3.1343,3.779,4.0605,5373,6858,421068,98.8128,72,0,25,300,10214
9/11/2023,Remote Jizan,45180Remote Jizan,14523.47,6260.6729,840.0321,1192.2413,99.9909,99.8591,99.5272,0.1631,0.4075,95.4044,3107.6006,-104.906,22.3647,18.3268,40.4149,99.1293,95.3762,4225,542193,13184,0,0,542193,604226,3.125,3.7655,4.0735,5711,7094,556056,98.3504,0,0,0,1043,22320
9/11/2023,Remote Aseer,45180Remote Aseer,7533.11,7365.9287,878.3445,1298.4944,99.9736,99.9003,99.6998,0.3818,0.4375,96.8112,3802.7428,-104.181,23.6049,18.1327,39.3562,98.6789,96.788,669,207476,11906,0,0,207476,848532,3.1308,3.7596,4.0672,5448,6967,962211,98.4543,72,0,22,985,28811
9/11/2023,Remote Khamis,45180Remote Khamis,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,,NIL,,,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
9/11/2023,RNC291,45180RNC291,8789,9490.8316,1416.006,1735.8737,99.931,99.6029,99.6272,0.493,0.4799,97.796,3064.3548,-105.8992,23.2971,18.834,39.353,99.4148,97.7451,1431,128706,8855,0,0,128706,231830,3.0903,3.6966,4.0925,5083,7156,2384408,97.0042,439,0,278,1143,26198
9/11/2023,Abha,45180Abha,3053.59,754.3546,121.0722,243.8312,99.9925,99.9443,99.8505,0.1151,0.165,93.7063,3489.4623,-102.9045,23.1404,17.7767,37.6063,98.9254,93.7063,9,99191,2583,0,0,99191,95306,3.1536,3.7856,4.1167,5195,6832,4680,99.9816,0,0,0,123,3739
