Date,Time,UCell Group,Integrity,3G CS Traffic Erl(Erl),3G PS DL GB,3G PS UL GB,VS.HSDPA.UE.Mean.Cell,CS SR (F),PS SR (F),RRC SR(F),CS_DCR.Leo(%),PS Drop(F),IRAT SR(New),HSDPA.User.Throughput Mbps,VS.MeanRTWP(dBm),Avg_CQI_reported,Avg_CQI_Used,VS.MeanTCP(dBm),Success Rate of CS Incoming Inter-RAT Handovers for Cell(%),IRAT HO Outgoing Success Rate CS -speech (%)-NewMob,VS.IRATHO.FailOutCS,VS.U2L.FastReturn.Redirect.CSFBUE,VS.U2L.FastReturn.Redirect.SRVCCUE,VS.U2LHO.FastReturn.AttOutPS.CSFBUE,VS.U2LHO.FastReturn.AttOutPS.SRVCCUE,VS.U2LTEHO.RRCRelease.FastReturn.Blind,VS.U2LTEHO.RRCRelease.Service,EVQI Cell NB,EVQI Cell WB,VQI-3G,VS.OrigCall.EstabMeanTime.AMRWB(ms),VS.OrigCall.EstabMeanTime.AMRNB(ms),VS.Cell.UnavailTime.Sys(s),UMTS Cell Availability %
2023-11-14,00:00,Southern Region,1,1491.61,1255.0406,155.8174,4259.3235,99.9913,99.899,99.8364,0.2291,0.1903,95.7647,3915.5126,-104.049,23.231,19.0138,39.9766,98.2655,95.7197,91,33333,1075,0,0,33333,74034,3.1571,3.7929,4.0824,5184,6381,24879,99.309
2023-11-14,00:00,USF8,1,153.16,312.5201,43.426,1207.6264,99.9312,99.7096,99.6361,0.3626,0.2199,98.5977,3910.5154,-106.6117,24.1332,19.466,38.3422,99.8779,98.4252,18,1782,50,0,0,1782,5217,3.1463,3.6912,4.0958,5065,7215,46480,98.6998
2023-11-14,00:00,Southern Remote,1,597.16,807.8864,93.6257,2520.6198,99.9787,99.8761,99.8165,0.3072,0.2632,95.8826,4058.6573,-105.0676,23.5404,18.9815,40.017,98.3616,95.8373,88,12053,555,0,0,12053,54878,3.1668,3.8035,4.0709,5210,6375,23915,99.3095
2023-11-14,00:00,Southern City,1,891.89,443.9203,61.717,1723.7481,100,99.9382,99.8625,0.168,0.1225,72.7273,3687.6782,-102.645,22.7811,19.0741,39.9397,98.0638,72.7273,3,21223,519,0,0,21223,18471,3.1502,3.7865,4.0931,5170,6385,964,99.3027
2023-11-14,00:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,107.11,70.9184,9.4046,353.4858,100,99.9515,99.7978,0.5095,0.2,97.3684,3884.0185,-103.2923,23.3823,18.6336,37.9277,98.3696,97.3684,1,2088,97,0,0,2088,7189,3.168,3.7893,4.1001,4935,6473,0,98.7124
2023-11-14,00:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,226.98,123.2119,17.2615,550.1857,99.9659,99.9566,99.8653,0.3325,0.1696,100,3906.1947,-99.2518,23.4781,18.5428,38.6733,94.5255,97.619,1,4511,151,0,0,4511,9019,3.1415,3.7838,4.0784,5314,6546,724,99.3386
2023-11-14,00:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,80.46,264.4332,28.7398,592.6166,99.908,99.8766,99.7786,0.2384,0.2278,95.8904,4945.3259,-105.7278,24.5487,19.2734,39.8758,97.3856,95.8904,6,1675,64,0,0,1675,10580,3.1763,3.778,4.0618,5099,6235,21600,98.3271
2023-11-14,00:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,374.23,223.9266,32.2116,802.671,100,99.8692,99.7857,0.2027,0.2751,96.8685,3480.0898,-104.6871,22.4738,18.8871,40.4472,98.8172,96.8685,30,7842,263,0,0,7842,14896,3.1534,3.8092,4.0588,5130,6389,905,99.2947
2023-11-14,00:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,423.84,236.84,29.9888,870.3803,100,99.7882,99.821,0.1848,0.2222,93.1487,3387.8955,-104.9575,22.5433,19.1462,40.9167,99.2888,93.1487,47,10911,256,0,0,10911,12012,3.1473,3.7934,4.0701,5304,6224,1410,99.9008
2023-11-14,00:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,80.51,147.9657,15.6147,509.2774,100,99.9463,99.9114,0.2168,0.2102,99.0476,4414.4464,-105.8258,23.9021,18.8225,39.5143,95.4839,99.0476,1,1169,90,0,0,1169,15367,3.1732,3.8113,4.0922,4643,6462,240,99.9842
2023-11-14,00:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,186.83,169.2371,20.4376,521.5996,100,99.9834,99.9355,0.1515,0.0706,96.0938,3777.2965,-104.8991,22.9742,19.3627,40.5198,99.5652,96.0938,5,4803,140,0,0,4803,3804,3.18,3.7716,4.1207,5098,6554,0,100
2023-11-14,00:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,9.1,15.274,1.6841,44.1515,100,100,99.6606,0,0.0969,100,4258.9718,-105.6401,23.1941,19.4767,39.3474,100,100,0,277,13,0,0,277,482,3.178,3.8121,4.0975,4909,6706,0,100
2023-11-14,00:00,Aseer Province,1,494.9,605.9779,70.98,2003.9058,99.9684,99.9339,99.8443,0.3393,0.199,97.5758,4435.9138,-103.5033,23.9083,18.8954,39.0846,96.2141,97.281,9,9436,402,0,0,9436,42136,3.1582,3.7886,4.0839,5112,6452,22564,99.0411
2023-11-14,00:00,Jazan Province,1,798.22,461.3178,62.241,1674.7111,100,99.8296,99.8035,0.1926,0.2483,95.3163,3431.1804,-104.8229,22.5079,19.0151,40.6581,99.0202,95.3163,77,18760,519,0,0,18760,26927,3.1504,3.7992,4.064,5242,6302,2315,99.5769
2023-11-14,00:00,Najran Province,1,195.93,184.5111,22.1216,565.751,100,99.9848,99.9064,0.1428,0.0732,96.6667,3812.8249,-104.9762,22.991,19.371,40.4115,99.5984,96.6667,5,5080,153,0,0,5080,4286,3.1799,3.7736,4.1182,5091,6563,0,100
2023-11-14,01:00,Southern Region,1,1002.31,1096.9682,132.3231,3552.3574,99.9924,99.8523,99.7926,0.3156,0.1651,94.9288,4219.7031,-104.2915,23.488,19.1849,39.467,99.044,94.9288,57,19925,661,0,0,19925,70884,3.1577,3.8022,4.0831,5224,6369,55411,99.0416
2023-11-14,01:00,USF8,1,99.1,243.5136,34.6115,966.9617,100,99.668,99.4704,0.347,0.1564,96.6063,4418.1755,-106.732,24.5692,19.3795,37.5949,100,96.6063,15,869,39,0,0,869,4279,3.1639,3.7768,4.1067,5325,6936,36000,98.993
2023-11-14,01:00,Southern Remote,1,398.74,730.5785,78.85,2127.2297,99.9814,99.845,99.8331,0.3049,0.2111,95.0673,4456.8027,-105.2425,23.7827,19.3535,39.6575,99.3433,95.0673,55,6990,345,0,0,6990,51535,3.1645,3.815,4.0691,5125,6311,23980,99.3085
2023-11-14,01:00,Southern City,1,601.8,364.1541,53.1636,1414.3275,100,99.8627,99.7465,0.3241,0.1203,60,3820.6692,-102.9718,23.0388,18.919,39.2659,98.3968,60,2,12891,316,0,0,12891,18771,3.1529,3.794,4.0955,5278,6413,31431,98.6658
2023-11-14,01:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,71.84,64.7774,7.2782,285.0969,100,99.9721,99.8018,0.1685,0.1487,95,4368.4125,-103.5336,23.5556,19.2704,37.6136,100,95,1,1263,56,0,0,1263,6742,3.1767,3.7815,4.0997,5054,6391,2202,98.5812
2023-11-14,01:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,139.3,99.3848,13.2113,421.9912,100,99.8907,99.8537,0.2998,0.1718,100,4260.1357,-99.5619,23.9903,18.614,38.103,95.3333,100,0,2509,96,0,0,2509,7754,3.1317,3.8009,4.0664,5142,6392,6740,98.9933
2023-11-14,01:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,57.5,245.3987,25.0071,514.8453,100,99.7999,99.7945,0.8961,0.1829,96.1538,5339.6894,-105.8806,24.7978,19.6478,39.5878,100,96.1538,2,1151,51,0,0,1151,10014,3.1875,3.8164,4.0592,4886,6458,21600,98.3271
2023-11-14,01:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,243.94,206.1784,28.3047,707.401,99.9691,99.8038,99.5569,0.5077,0.2866,94.2418,3588.4001,-104.8496,22.4522,19.0092,40.1058,99.2606,94.2418,30,4207,153,0,0,4207,16833,3.1576,3.8101,4.0809,5041,6415,24869,97.8507
2023-11-14,01:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,313.45,214.0912,25.2991,744.3404,100,99.7055,99.8302,0.1315,0.1876,93.7838,3730.3649,-105.2673,22.8523,19.3532,40.4597,99.5146,93.7838,23,7293,169,0,0,7293,11010,3.1516,3.7973,4.084,5467,6230,0,100
2023-11-14,01:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,52.18,116.5981,13.3168,411.3092,100,99.9504,99.9336,0.7143,0.1324,100,4674.4222,-105.954,24.2036,18.562,38.9815,98.8889,100,0,783,46,0,0,783,14117,3.14,3.8311,4.069,4790,6354,0,100
2023-11-14,01:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,116.47,132.2792,18.1045,418.9356,100,99.9638,99.8949,0.2113,0.0547,100,4151.9361,-105.3532,23.3955,19.4191,39.8339,99.4152,100,0,2497,85,0,0,2497,3086,3.1826,3.7988,4.1142,4977,6564,0,100
2023-11-14,01:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,5.87,16.0248,1.4919,37.6376,100,100,99.9071,0,0.0266,95,4623.835,-105.7418,23.5666,19.6077,39.3278,100,95,1,178,5,0,0,178,750,3.2018,3.7504,4.1201,4901,7177,0,100
2023-11-14,01:00,Aseer Province,1,320.75,525.4657,58.7856,1632.0259,100,99.9047,99.8496,0.4566,0.1603,97.7099,4825.7787,-103.716,24.2462,19.1107,38.6676,98.1176,97.7099,3,5699,249,0,0,5699,38607,3.153,3.8031,4.0744,5031,6398,30542,98.9247
2023-11-14,01:00,Jazan Province,1,557.47,420.9629,53.6317,1452.9581,99.9877,99.7599,99.6859,0.2793,0.238,94.0516,3659.8944,-105.055,22.6539,19.1833,40.2635,99.3704,94.0516,53,11507,322,0,0,11507,27863,3.1544,3.8024,4.0824,5338,6307,24869,98.8492
2023-11-14,01:00,Najran Province,1,122.33,148.304,19.5964,456.5732,100,99.9683,99.8964,0.1959,0.0518,98.9796,4198.1922,-105.3936,23.4092,19.4371,39.7839,99.4652,98.9796,1,2675,90,0,0,2675,3836,3.1836,3.7977,4.1148,4973,6618,0,100
2023-11-14,02:00,Southern Region,1,660.59,902.6082,116.8382,3004.4069,99.9645,99.9084,99.6355,0.2697,0.1557,92.9134,4492.6524,-104.4172,23.7559,19.1079,38.9666,99.3443,92.9134,45,12902,416,0,0,12902,63335,3.1561,3.8087,4.0815,5240,6508,178320,97.9649
2023-11-14,02:00,USF8,1,55.33,185.799,27.3987,803.397,99.8,99.5716,99.2559,0.2398,0.1214,98.3402,4600.5176,-106.8003,24.8136,19.2417,37.0741,100,98.3402,4,570,18,0,0,570,3380,3.1746,3.7976,4.1034,4622,6630,38965,98.91
2023-11-14,02:00,Southern Remote,1,265.63,600.0838,73.6212,1866.3068,99.9139,99.882,99.4443,0.4664,0.2224,92.8685,4627.6779,-105.3257,23.983,19.1067,39.1693,99.67,92.8685,45,4570,229,0,0,4570,48698,3.1599,3.8228,4.0617,5119,6453,139653,97.5537
