Date,LTE Cell Group,Integrity,DL_Traffic_Volum_GB,UL_Traffic_Volume_GB,Avg_Users,DL_Throughput_MB/sec,UL_Throughput_MB/sec,DL_User_Throughput_MB/Sec,UL_User_Throughput_MB/sec,RRC Success Rate (Service),RRC Success Rate (Signaling),ERAB_Success_Rate,Failures Thrp License,Failures User License,Service Drop-Rate,ERAB_Abnrml_TNL,CSFB Success Rate%,Flash CSFB Prec,Avg_CQI,DL_Avg_MCS,UL_Avg_MCS,QPSK Ratio(%),16QAM Ratio(%),64QAM Ratio(%),DL_Retrans_Rate,UL_Retrans_Rate,DL IBLER(%),UL IBLER(%),UL_MAC_BLER,DL_MAC_BLER,RACH_Success_Rate,Avg_Interference(dBm),System_Outage(s),DL_PRB_Utilization,Handover Execution Success Rate (all)(%),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s),Service Drops MME,RACH Contention,RACH Non Contention,HO Exec Failures,HO Prep Failures(times),Pcell Traffic,Scell Traffic,Scell Users,3CC Users %(%),4CC Traffic,4CC Users %(%),4CC Traffic %,5CC Traffic,5CC Users %,5CC Traffic %
9/10/2023,Khamis Mushait,45179Khamis Mushait,93517.1679,8246.1272,17363.7485,25.4554,4.3506,15.1474,3.564,99.9738,99.8123,99.7707,0,0,0.1581,16,99.9082,98.2432,9.3016,14.9401,24.8524,30.7703,37.3601,31.8696,14.06,18.6176,11.3052,12.5711,0.3138,0.149,83.3298,-114.2235,42280,25.8537,99.8431,99.9991,99.5652,99.9999,49200.9085,17349.4235,48.9984,18.5521,7822.3093,28.3081,30.4035,0.0527,99.4682,99.5172,21.3554,25.4554,4.3506,99.9705,137149160,55106,83.8814,81.2889,6798,39,31186.2383,21049.956,13863.2092,0.1715,9289.2601,0.0941,9.9332,207.851,0.003,0.2223
9/10/2023,Bishah,45179Bishah,32720.5578,2493.6132,4783.7946,30.0944,4.6909,21.5536,4.1516,99.9731,99.8108,99.8009,0,0,0.0546,8,99.9318,99.7361,9.9944,15.7214,24.2802,26.7063,36.2503,37.0434,12.8115,17.0524,10.5869,12.0568,0.189,0.1086,79.5567,-116.8822,17200,16.4555,99.867,99.9603,99.6158,100,14533.825,5933.0381,41.3675,18.1324,1902.8446,45.5542,42.3503,0.0215,99.6774,99.6485,14.4131,30.0944,4.6909,99.9715,57784400,4503,78.7374,83.572,1581,94,9337.831,6259.4557,3621.288,0.1588,3231.669,0.0983,9.8766,42.028,0.0021,0.1284
9/10/2023,Southern Region_FDD,45179Southern Region_FDD,891571.9352,71827.0391,145149.8091,31.5386,4.1431,13.0538,3.2573,99.9633,99.7615,99.6795,95,33730,0.1231,137,99.8298,91.8034,10.0061,16.1788,24.1461,27.4366,35.2638,37.2996,13.3934,21.5821,11.4183,14.8199,0.3035,0.0908,68.4488,-115.5323,1520060,33.9528,99.6685,99.9598,99.1819,99.9845,447128.3507,193488.8679,46.7064,21.702,51997.4246,28.9608,30.9768,0.0339,99.6397,99.6467,14.0015,31.5386,4.1431,99.785,700799975,383004,66.5639,80.2171,153337,10790,280258.2454,190685.8802,73365.9036,0.1524,46996.9817,0.0472,5.2712,883.1397,0.0015,0.099
9/10/2023,Southern Region_TDD,45179Southern Region_TDD,266267.0835,20190.1243,27846.1319,28.19,5.8052,16.8261,4.0843,99.9836,99.6185,99.8022,1,0,0.1772,5,99.8988,94.5545,9.9651,15.3751,21.285,22.4556,36.1319,41.4126,12.8829,11.3036,10.7366,8.4536,0.166,0.0861,59.8203,-116.4062,698725,18.7731,99.7554,99.9712,99.4844,99.9998,107651.829,16289.9234,37.6534,6.1179,9517.7855,25.6349,29.0593,0.0752,98.1288,99.8229,26.1023,28.19,5.8052,99.8797,532962215,68799,56.4672,81.0006,12520,325,72475.5622,55185.3321,29744.0258,0.0533,14073.5403,0.0615,5.2855,0,0,0
9/10/2023,Western Region_FDD,45179Western Region_FDD,127566.317,10450.7368,23045.965,31.736,3.6383,10.143,2.6418,99.9658,99.5433,99.4524,4,2284,0.1593,1595,99.9298,26.0046,10.3771,16.5918,23.1123,25.3927,34.555,40.0523,12.9425,24.1903,11.7295,16.8467,0.2776,0.0349,49.3062,-118.1465,536870,28.8313,93.9575,97.3678,92.2495,99.8693,21391.2308,4735.8055,15.6171,3.7124,2814.2596,18.7586,21.2226,0.0306,99.3188,99.8406,12.4573,31.736,3.6383,99.513,107536860,64038,47.014,81.3983,303225,59440,13308.4635,9954.0679,3447.6365,0.0273,207.2775,0.0011,0.1625,0.1256,0,0.0001
9/10/2023,Western Region_TDD,45179Western Region_TDD,1523.2991,109.5611,149.8466,30.8729,5.9243,13.3855,3.8904,99.967,98.3417,99.5425,0,0,0.4529,0,100,0,11.8631,19.5121,22.9344,11.8489,21.07,67.0811,18.9435,12.3676,13.8008,8.4148,0.233,0.1438,15.966,-117.8681,0,23.6721,99.6851,99.9861,99.6142,100,291.2132,18.5959,17.8043,1.2208,24.0841,27.0044,33.1926,0.1337,98.6432,99.6972,27.7577,30.8729,5.9243,100,2073600,553,11.1346,93.1476,117,5,196.0063,225.0753,85.8691,0.0139,37.383,0.0232,2.4541,0,0,0
9/10/2023,Abha,45179Abha,60319.6279,5136.8435,10736.1653,27.4896,4.3921,21.4663,3.8617,99.9742,99.8572,99.7012,1,33730,0.1465,2,99.8516,98.953,9.6409,14.9862,25.4919,30.0231,37.0317,32.9453,12.1798,18.1902,9.4549,12.5169,0.2807,0.1673,78.0403,-115.5574,21150,14.4223,99.8897,99.9599,99.6334,99.8976,33956.6424,13015.7965,52.4284,21.578,5049.3397,38.5532,36.0535,0.0346,98.9503,99.5637,15.0217,27.4896,4.3921,99.9855,138100485,35945,75.0905,86.7678,4538,2834,22039.3351,14018.6973,9189.6288,0.1851,6554.3952,0.1029,10.8661,86.7804,0.0024,0.1439
9/10/2023,Southern Region All,45179Southern Region All,1286928.635,102577.4613,196191.7526,30.7998,4.3272,13.3063,3.3112,99.9662,99.7165,99.6686,100,36014,0.133,1737,99.8448,85.3462,10.0434,16.0757,23.7889,26.1774,35.3528,38.4698,13.2569,20.1185,11.3322,13.9641,0.2764,0.084,64.7936,-116.0945,2755655,27.3304,99.3148,99.7913,98.7424,99.9784,576462.6237,214533.1927,41.7174,16.6702,64353.5538,27.7597,30.5145,0.0388,99.4664,99.6795,18.8232,30.7998,4.3272,99.8033,1343372650,516394,62.4779,80.4214,469199,70560,366238.2774,256050.3555,106643.4349,0.1235,61315.1825,0.0438,4.7645,883.2654,0.0011,0.0686
9/10/2023,Southern Region,45179Southern Region,1157839.019,92017.1634,172995.941,30.7,4.4208,13.7559,3.4087,99.9662,99.7406,99.6949,96,33730,0.1297,142,99.8353,92.0213,9.9962,16.0095,23.8899,26.2872,35.4641,38.2487,13.2892,19.5449,11.2826,13.5581,0.2762,0.0899,67.0458,-115.9099,2218785,27.2015,99.6812,99.9614,99.2187,99.9864,554780.1797,209778.7913,44.6245,18.1181,61515.2101,28.2854,30.8189,0.0391,99.4708,99.6746,19.381,30.7,4.4208,99.8277,1233762190,451803,64.92,80.3434,165857,11115,352733.8076,245871.2123,103109.9294,0.1364,61070.522,0.0495,5.2745,883.1397,0.0013,0.0763
9/10/2023,Muhayel,45179Muhayel,43110.2587,3295.7997,5459.0477,30.7932,4.8767,15.2021,3.7354,99.9579,99.8319,99.587,0,0,0.1834,6,99.9056,98.9382,10.4511,16.2543,23.8794,23.7821,36.2714,39.9465,13.6701,18.5117,11.59,13.0667,0.2097,0.0856,80.0764,-115.9832,140525,33.7472,99.7668,99.8354,99.4037,99.9986,19797.1194,6605.4002,42.7683,15.3221,1753.69,33.7097,36.7314,0.073,99.6617,99.5913,23.9031,30.7932,4.8767,99.641,37155835,18597,80.669,77.6029,3602,392,13305.2819,8072.5278,2823.1213,0.1105,2115.5803,0.0446,4.9074,22.4705,0.0012,0.0521
