Date,Time,LTE Cell Group,Integrity,DL_Traffic_Volum_GB,UL_Traffic_Volume_GB,Avg_Users,DL_Throughput_MB/sec,UL_Throughput_MB/sec,DL_User_Throughput_MB/Sec,UL_User_Throughput_MB/sec,RRC Success Rate (Service),RRC Success Rate (Signaling),ERAB_Success_Rate,Failures Thrp License,Failures User License,Service Drop-Rate,ERAB_Abnrml_TNL,CSFB Success Rate%,Flash CSFB Prec,Avg_CQI,DL_Avg_MCS,UL_Avg_MCS,QPSK Ratio(%),16QAM Ratio(%),64QAM Ratio(%),DL_Retrans_Rate,UL_Retrans_Rate,DL IBLER(%),UL IBLER(%),UL_MAC_BLER,DL_MAC_BLER,RACH_Success_Rate,Avg_Interference(dBm),System_Outage(s),DL_PRB_Utilization,Handover Execution Success Rate (all)(%),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s)
2023-11-14,00:00,Southern Region,1,59033.6294,4554.0554,171642.2804,32.6073,4.7788,14.4569,3.7081,99.9612,99.631,99.6982,0,0,0.1138,4,99.9198,92.787,9.9129,16.1373,24.0203,25.3307,36.0004,38.6689,13.2773,18.3991,11.4042,13.142,0.2453,0.0828,71.1244,-116.101,154200,30.2819,99.6582,99.9006,99.2797,99.9997,29136.0333,10594.9918,45.9654,17.9474,65185.4039,30.6602,32.2563,0.0403,99.6011,99.6605,19.5511,32.6073,4.7788,99.7239,53815650
2023-11-14,00:00,Southern Remote,1,26628.7297,2054.0808,74118.9316,35.2555,4.6773,13.4072,3.521,99.9476,99.5049,99.6782,0,0,0.0905,2,99.8999,84.4171,10.085,16.6159,23.9982,23.7126,35.4224,40.8649,12.915,19.8729,11.3576,14.2648,0.2489,0.0603,61.4779,-116.8568,21825,32.0292,99.2785,99.9074,98.5844,99.999,13107.2136,5264.1204,45.8416,19.7686,25577.4978,28.8045,30.9731,0.0294,99.5314,99.7828,17.6073,35.2555,4.6773,99.8941,20399625
2023-11-14,00:00,Southern City,1,28820.081,2238.5356,89654.4586,30.1649,4.7716,15.1934,3.8544,99.9736,99.8384,99.7156,0,0,0.1254,2,99.9431,99.1796,9.6617,15.672,24.1661,27.1578,37.0138,35.8285,13.8111,17.7699,11.655,12.6046,0.2486,0.1017,82.0007,-115.5812,98640,29.8349,99.8344,99.8951,99.6099,100,14345.3153,4856.5176,46.357,16.8512,36716.8169,32.8993,34.0991,0.0435,99.6418,99.5851,20.2963,30.1649,4.7716,99.6844,29658960
2023-11-14,00:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,5612.6086,463.9859,18459.4664,29.1601,4.6635,18.7721,4.005,99.9751,99.7902,99.734,0,0,0.1268,2,99.9113,97.3404,9.6069,15.1903,24.6673,29.1813,37.5009,33.3178,12.4963,18.8749,10.1266,13.322,0.2732,0.1295,79.4439,-115.9154,95,20.0032,99.8755,99.9988,99.5933,100,3117.7659,1086.3893,51.7343,19.3562,8496.128,37.1533,35.1015,0.0367,99.4871,99.5878,16.6095,29.1601,4.6635,99.999,8913505
2023-11-14,00:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,10444.4345,845.2209,34446.6035,29.4873,4.6803,15.0938,3.7301,99.9751,99.7969,99.6955,0,0,0.1246,0,99.8497,98.4113,9.2954,15.3664,24.3507,28.8326,37.5434,33.624,13.7071,19.0625,11.4423,13.1706,0.3006,0.1081,83.7728,-114.6626,8220,33.3836,99.7881,99.6809,99.4792,99.9996,5584.1232,2112.645,49.7932,20.2275,15232.9077,30.5846,31.1468,0.0442,99.6797,99.5628,21.649,29.4873,4.6803,99.9197,9862980
2023-11-14,00:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,5634.6817,399.4208,13725.9458,35.5666,4.745,16.0845,3.711,99.9614,99.6682,99.6915,0,0,0.1263,0,99.7725,96.9852,10.4772,16.9071,24.593,21.1048,35.4088,43.4864,12.8216,18.2411,11.2057,13.3342,0.1818,0.0658,54.1523,-117.2317,5000,29.6819,99.3195,99.9987,98.7991,100,2640.5844,852.6063,43.6446,15.1314,4522.6538,31.3191,34.9664,0.0433,99.639,99.7389,17.9316,35.5666,4.745,99.8937,4624600
2023-11-14,00:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,8713.2657,691.8101,26848.8731,32.8288,4.599,13.2377,3.4965,99.9556,99.6091,99.6752,0,0,0.0897,0,99.9437,88.0837,9.7151,16.1286,22.0971,26.2959,35.6746,38.0294,13.0553,20.1359,11.4693,14.048,0.3104,0.0663,72.4471,-115.7322,6130,33.4237,99.5897,99.8455,99.0626,99.9987,4235.8608,1821.5529,45.2752,20.9055,9611.4511,30.3588,32.2975,0.0334,99.2532,99.7554,19.9157,32.8288,4.599,99.9159,7021070
2023-11-14,00:00,"Cluster=USF8 CL1,Rule Name=Opt Clusters",1,18.0212,1.164,55.0733,33.3028,3.8536,33.4004,3.4787,100,100,99.9532,0,0,0.0157,0,100,100,12.3583,16.6339,23.14,19.0507,36.6195,44.3298,11.799,10.1276,9.8681,7.1309,0.121,0.2369,49.2633,-119.0909,0,14.4961,97.3154,100,98.3607,100,6.2516,3.3215,32.3077,18.4313,12.2536,43.4526,32.8811,0,99.6753,99.9172,15.3551,33.3028,3.8536,100,39600
2023-11-14,00:00,"Cluster=USF8 CL2,Rule Name=Opt Clusters",1,12.0323,0.888,112.281,26.6979,3.6737,21.7821,3.4017,100,100,99.262,0,0,0.0109,0,100,100,10.5094,16.7136,27.2006,20.9736,39.1962,39.8301,12.1114,11.1245,10.9886,9.6983,0.0821,0.0265,96.1297,-116.5,0,22.2683,100,100,100,100,0,0,0,0,0,,,,,,7.694,26.6979,3.6737,100,14400
2023-11-14,00:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,4979.1995,382.5106,13457.5125,33.7489,4.6676,16.467,3.7034,99.9685,99.7955,99.7331,0,0,0.0461,2,99.8637,84.2536,10.1939,16.5911,24.0868,22.4583,37.3636,40.1782,12.764,18.447,11.0691,13.4919,0.1977,0.0619,71.6124,-117.5649,395,24.3058,99.5445,99.9933,99.1902,100,2017.667,717.2903,37.739,14.4057,4324.3797,41.7282,39.2352,0.0091,99.7968,99.7888,14.5233,33.7489,4.6676,99.9924,5072005
