Date,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
9/10/2023,Abha,45179Abha,4802.0975,199.2875,113.5405,5.7459,87.787,15.3172,535.8412,6.0299,8.6938,4.0677,0,76.4621,95.9763,10.0638,10.0921,9.6897,99.9337,99.4914,99.7825,0.007,0.6356,10.477,22.0975,-110.5572,2.2083,1.7855,5.6908,0.2405,0.9026,100
9/10/2023,Khamis Mushait,45179Khamis Mushait,15852.9379,634.9601,86.6961,4.4716,100.7377,16.8823,1498.9365,12.2646,14.2761,7.5516,750,66.3008,95.5544,10.4926,10.5451,9.8469,99.9143,99.3158,99.787,0.0052,0.4653,11.9484,22.3719,-109.7181,2.1226,2.0262,5.365,0.1903,0.7474,99.2956
9/10/2023,Jizan,45179Jizan,5120.8532,192.4059,77.4264,2.5271,80.5218,12.9825,649.6485,15.4205,20.7197,11.2834,12965,56.7481,93.1228,10.5542,10.5786,10.272,99.9315,99.5211,99.7159,0.0054,1.0717,11.7422,21.091,-106.5657,2.2991,2.1067,6.4257,0.2864,1.4445,99.5453
9/10/2023,Najran,45179Najran,1879.7391,71.5538,142.6647,6.2938,92.3323,15.325,185.9935,10.8025,14.4974,5.7736,0,71.8017,94.1834,10.26,10.2818,9.8343,99.9555,99.6571,99.7979,0.0018,0.7043,10.0273,22.2439,-108.9653,2.2104,2.057,4.4645,0.103,0.4409,100
9/10/2023,Muhayel,45179Muhayel,750.712,33.5631,174.0352,24.7675,108.2992,20.0742,45.0642,14.5433,15.4699,6.1937,0,88.14,95.3616,11.1911,11.1967,11.0308,99.9676,,99.7721,0.0035,0.2345,10.9177,23.8781,-112.4167,2.0644,2.4884,3.3903,0.0521,0.1719,100
9/10/2023,Abu Arish,45179Abu Arish,411.4141,14.769,95.736,9.085,85.7807,13.379,41.9544,11.5859,13.6149,6.1372,15300,53.9715,73.1407,11.2269,11.2342,11.1672,99.9794,,99.8545,0.0047,0.6131,10.4299,21.6294,-107.875,2.1522,1.8184,5.1625,0.1872,0.8826,94.0972
9/10/2023,Sabya,45179Sabya,418.8845,9.2822,109.3141,4.1239,88.2036,12.2266,60.2981,11.0579,13.5832,6.5451,0,84.5884,96.046,10.4628,10.4964,10.0601,99.9614,,99.7147,0.0041,0.2633,10.0571,22.7101,-111.7778,2.0937,1.9909,5.2802,0.2129,1.2945,100
9/10/2023,Bishah,45179Bishah,203.553,8.7238,95.1824,3.9777,70.879,13.9515,36.6783,7.1808,12.2814,4.6612,0,67.2978,88.5098,10.7635,10.7859,10.5937,99.9819,,99.6692,0.0095,0.7548,9.0057,21.9244,-109.7361,2.3362,2.1423,6.133,0.2031,0.6621,100
9/10/2023,Remote Jizan,45179Remote Jizan,787.0774,20.3499,111.9288,4.3341,87.5517,12.7192,91.1247,10.0683,13.0558,5.9398,0,69.3543,62.0194,11.1253,11.1592,10.6366,99.9756,,99.8977,0.0024,0.2698,10.6744,22.1187,-107.8264,2.1682,1.9294,4.6746,0.2285,1.4209,100
9/10/2023,Southern Remote,45179Southern Remote,787.0774,20.3499,111.9288,4.3341,87.5517,12.7192,91.1247,10.0683,13.0558,5.9398,0,69.3543,62.0194,11.1253,11.1592,10.6366,99.9756,,99.8977,0.0024,0.2698,10.6744,22.1187,-107.8264,2.1682,1.9294,4.6746,0.2285,1.4209,100
9/10/2023,Southern Region,45179Southern Region,33764.608,1305.6046,87.6943,4.0632,94.1854,15.4953,3447.829,10.6219,13.333,6.6861,29015,65.6521,93.0687,10.5355,10.574,10.041,99.9316,99.4228,99.7718,0.0051,0.6305,11.5511,22.1063,-109.3394,2.1637,1.9917,5.5125,0.1981,0.8821,99.5807
9/10/2023,Southern City,45179Southern City,29236.6383,1155.8216,90.7616,4.2504,93.5627,15.58,3017.7365,10.2334,12.9465,6.492,29015,65.4972,94.7345,10.4446,10.4821,9.9659,99.9266,99.4194,99.7648,0.0054,0.6631,11.4743,22.0939,-109.3763,2.1708,1.9805,5.5154,0.2085,0.8815,99.5248
