Date,Time,NR Cell Group,Integrity,Downlink Traffic Volume(GB)_5G-NR,Uplink Traffic Volume(GB)_5G-NR,User Downlink Average Throughput(Mbps)_5G-NR,User Uplink Average Throughput(Mbps)_5G-NR,Cell Downlink Average Throughput(Mbps)_5G-NR,Cell Uplink Average Throughput(Mbps)_5G-NR,Average Number of Users_5G-NR,Downlink PRB usage_5G-NR,Uplink PRB usage_5G-NR,CCE usage_5G-NR,Unavailable duration_5G-NR,RACH SR_Contention(%).,RACH SR_non-Contention(%).,Avg CQI (Single Codeword)-NR,Avg CQI 256QAM 5G-NR,Avg CQI 64QAM 5G-NR,SgNB Addition Success Rate_5G-NR,Inter-SgNB PSCell Change Success Rate_5G-NR,Intra-SgNB PSCell Change Success Rate_5G-NR,SgNB-Triggered Abnormal SgNB Release Rate_5G-NR,NR DCR -Include MeNB Triggered,Average PDSCH Scheduling MCS_5G-NR,Average PUSCH Schedulign MCS_5G-NR,N.UL.NI.Avg(dBm)_5G-NR,Average PDSCH RANK 256QAM_5G-NR,Average PDSCH RANK 64QAM_5G-NR,PDSCH IBLER_5G-NR,PDSCH RBler_5G-NR,PUSCH Rbler_5G-NR,Cell Availability
2023-11-14,00:00,Southern Remote,1,31.4814,0.6714,71.1259,1.2617,78.0617,11.0463,90.6724,11.9693,13.0329,8.0561,0,82.0141,92.1323,11.1995,11.2479,10.8531,99.9895,,99.8303,0.021,0.4209,11.2249,22.0892,-107.1667,2.063,1.8769,6.7633,0.5774,2.7277,100
2023-11-14,00:00,Southern Region,1,3247.9617,128.881,117.6202,7.5666,108.0554,16.9846,5583.5295,8.7513,10.4463,4.9808,205200,76.1597,94.3755,10.5791,10.6015,10.212,99.9349,99.5323,99.8119,0.0079,0.4963,11.6223,22.5532,-110.8714,2.1187,2.1533,5.0664,0.1585,0.4977,88.0503
2023-11-14,00:00,Southern City,1,1703.2899,66.5479,99.0013,7.1209,104.0327,16.4948,3078.0998,13.5368,13.9286,7.9931,0,73.0742,94.236,10.4495,10.4918,9.888,99.9334,99.5579,99.8283,0.0102,0.4963,12.19,22.1647,-109.1366,2.0885,1.9577,6.3789,0.2427,0.8119,100
2023-11-14,00:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,328.8221,9.2476,73.0379,3.3251,84.7543,12.7897,714.9868,19.5152,18.4098,12,0,67.1519,93.3471,11.6688,11.7396,11.048,99.9469,99.6145,99.8318,0.0131,0.6041,12.3593,21.6443,-106.4359,2.1273,2.0874,6.5529,0.3752,1.5983,100
2023-11-14,00:00,Aseer Province,1,1435.092,60.2737,113.4379,8.0288,112.7035,17.7925,2447.8877,12.2634,13.2982,7.1166,0,75.6456,95.5563,10.3768,10.4004,9.9815,99.933,99.5343,99.8366,0.0086,0.4219,12.2381,22.3597,-109.88,2.0932,1.9764,6.3275,0.1733,0.5804,100
2023-11-14,00:00,Jazan Province,1,389.3136,10.5346,69.4692,2.8685,83.4448,12.683,862.5271,20.6324,17.7941,12.8308,0,68.7611,91.6239,11.2827,11.4706,10.1538,99.94,99.615,99.8506,0.0132,0.6706,12.2027,21.652,-106.8667,2.0613,1.9496,6.7794,0.4206,1.7941,100
2023-11-14,00:00,Najran Province,1,96.4068,2.9709,99.1983,3.9879,87.5217,13.7511,193.8029,17.2614,20.7012,11.5198,0,74.1523,85.6292,10.6195,10.7026,9.5282,99.9464,99.9582,99.7532,0.007,0.5561,12.4904,22.2216,-108.6667,2.043,1.7736,4.9761,0.2276,0.4419,100
2023-11-14,00:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,214.6352,8.8492,128.461,7.3267,93.0879,14.6388,537.0996,6.1344,8.8439,4.19,0,84.7257,97.2383,9.9456,9.9502,9.8932,99.9134,99.4968,99.7881,0.0119,0.4296,10.0377,21.9888,-110.1111,2.1844,1.935,6.3109,0.1578,0.7887,100
2023-11-14,00:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,1170.6807,50.19,110.557,8.1499,117.3576,19.2568,1827.3832,17.3356,17.0036,9.6801,0,71.4757,94.7483,10.44,10.464,9.9943,99.9401,99.5608,99.8539,0.0068,0.4121,12.7292,22.4309,-109.6111,2.0746,2.0023,6.4102,0.1804,0.5281,100
2023-11-14,00:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,9.1227,0.4707,150.8446,3.474,82.8161,15.1818,30.5966,6.3077,11.9453,5.0346,0,80.2817,94.2928,10.7478,10.7513,10.7071,100,,100,0,0.4422,9.1232,22.2816,-111.6667,2.2839,2.0217,4.6,0.1272,0.4301,100
2023-11-14,00:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,96.4068,2.9709,99.1983,3.9879,87.5217,13.7511,193.8029,17.2614,20.7012,11.5198,0,74.1523,85.6292,10.6195,10.7026,9.5282,99.9464,99.9582,99.7532,0.007,0.5561,12.4904,22.2216,-108.6667,2.043,1.7736,4.9761,0.2276,0.4419,100
2023-11-14,00:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,40.6535,0.7638,149.6683,14.077,124.0559,17.2092,52.8083,18.685,14.4124,6.3855,0,92.9041,98.2721,10.8995,10.9342,10.0881,100,,100,0.0255,0.6384,11.8622,23.9818,-112,2.0686,1.9313,4.3159,0.0633,0.1554,100
2023-11-14,00:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,60.4915,1.287,53.5835,0.8872,77.0543,12.0414,147.5403,25.7703,14.9627,16.5383,0,76.6404,81.1091,10.4318,10.7778,9.2827,99.8996,100,99.9568,0.0134,1.0094,11.4444,21.6942,-109.6667,1.7557,1.6924,7.918,0.6493,2.9591,100
2023-11-14,01:00,Southern Remote,1,34.3694,0.8144,75.764,1.6393,78.223,10.8663,85.1572,12.817,13.0255,8.9128,0,81.4038,91.8382,11.1331,11.3064,10.1879,99.989,,99.8726,0.0548,0.6249,11.18,21.8071,-108,2.0314,1.8518,6.3261,0.4723,2.6025,100
2023-11-14,01:00,Southern Region,1,2919.6728,103.2958,117.7514,6.7847,108.0637,16.2821,5123.5345,7.859,9.8562,4.4317,205200,76.0799,95.0766,10.6311,10.6457,10.3734,99.9456,99.5894,99.8803,0.0072,0.4886,11.6998,22.5739,-111.1452,2.1166,2.2132,4.929,0.1497,0.4372,88.0503
2023-11-14,01:00,Southern City,1,1497.9993,45.5795,93.3048,5.0934,101.8982,14.9933,2840.8692,11.8666,12.7112,6.8567,0,72.8052,95.3672,10.5372,10.5625,10.1709,99.9372,99.6384,99.8885,0.0082,0.4454,12.3977,22.2009,-109.4699,2.0771,1.9833,6.1287,0.2273,0.697,100
2023-11-14,01:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,313.5218,7.7426,65.4808,3.5021,86.5091,12.0314,664.6577,18.3946,17.798,11.3845,0,61.1315,93.4796,11.7126,11.8141,10.875,99.959,99.6667,99.8801,0.0264,0.5199,12.4556,21.3518,-106.7179,2.1192,2.0689,6.3364,0.3834,1.5132,100
2023-11-14,01:00,Aseer Province,1,1173.9934,40.8499,110.1745,5.7341,106.0701,16.1336,2250.3363,10.2561,11.9832,5.9982,0,78.61,95.6895,10.4794,10.4913,10.2523,99.9383,99.6338,99.8854,0.004,0.4186,12.2968,22.4959,-110.24,2.0988,2.0086,6.003,0.1551,0.4955,100
2023-11-14,01:00,Jazan Province,1,387.3427,8.7291,66.0066,3.1625,88.1412,11.9309,801.6219,19.872,17.1885,11.8257,0,61.2652,92.6842,11.2861,11.4517,10.2748,99.9565,99.6676,99.8874,0.0222,0.5499,12.4261,21.388,-107.1333,2.0199,1.9589,6.5949,0.4093,1.5788,100
2023-11-14,01:00,Najran Province,1,136.4045,4.2439,137.4237,7.0606,115.88,15.3926,173.1477,19.7647,21.5952,10.2505,0,77.5098,95.0048,10.7255,10.813,9.4775,99.9025,99.9131,99.9324,0.007,0.4202,13.5419,22.3681,-109.25,2.0355,1.727,5.4259,0.1838,0.3296,100
2023-11-14,01:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,188.9483,5.8423,148.4665,4.1767,96.5669,14.312,487.2901,5.2583,8.2845,3.3651,0,85.3404,97.0915,9.9578,9.9583,9.9505,99.9394,99.6267,99.8074,0.0075,0.5262,10.0983,22.0255,-110.4444,2.1854,2.0202,5.8433,0.127,0.6638,100
2023-11-14,01:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,943.6426,33.3194,103.8595,5.7989,108.2243,16.7382,1683.6747,14.3736,14.9301,8.2538,0,75.7506,95.1304,10.5494,10.5621,10.282,99.9359,99.6406,99.9137,0.0026,0.3762,12.7946,22.5723,-110,2.08,2.004,6.112,0.1644,0.4602,100
2023-11-14,01:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,7.746,0.2937,134.6539,4.4213,80.6988,15.3207,28.2272,5.7475,12.2395,5.1327,0,69.6911,93.4555,11.0437,11.0758,10.4245,99.967,,99.7253,0,0.4954,8.9398,22.9269,-111.6667,2.2932,1.9908,4.9963,0.1424,0.3315,100
2023-11-14,01:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,136.4045,4.2439,137.4237,7.0606,115.88,15.3926,173.1477,19.7647,21.5952,10.2505,0,77.5098,95.0048,10.7255,10.813,9.4775,99.9025,99.9131,99.9324,0.007,0.4202,13.5419,22.3681,-109.25,2.0355,1.727,5.4259,0.1838,0.3296,100
2023-11-14,01:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,33.6566,1.3946,175.2463,36.6634,115.0305,20.4084,51.1444,15.7011,15.4189,5.8162,0,82.7181,96.0828,11.109,11.0907,11.4747,100,,100,0,0.1769,11.5015,24.2776,-112.3333,2.0469,1.9888,3.9089,0.0461,0.0979,100
2023-11-14,01:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,73.8209,0.9866,68.3572,1.5062,95.8192,11.3262,136.9642,26.6664,14.3856,13.7951,0,61.8988,88.0667,10.3,10.4982,9.5813,99.9417,100,99.9136,0,0.7076,12.2878,21.5864,-109.8333,1.697,1.7137,7.8227,0.5325,1.9572,100
2023-11-14,02:00,Southern Remote,1,23.4403,0.8198,77.7414,3.2215,69.9803,11.0994,78.8178,9.2531,12.6448,6.1777,0,89.3459,75.594,11.2129,11.2684,10.6588,99.9881,,99.9269,0.0356,0.285,10.4095,22.1697,-108.8333,2.0337,1.8036,5.886,0.4572,2.2835,100
2023-11-14,02:00,Southern Region,1,2324.2798,92.5899,127.9313,8.8516,101.3191,16.0626,4596.2647,6.5807,9.4489,3.8588,204930,75.1398,92.9988,10.6806,10.6903,10.4986,99.9502,99.4332,99.8988,0.0046,0.3743,11.3917,22.579,-111.5167,2.1314,2.1613,4.6945,0.1481,0.3883,88.0503
2023-11-14,02:00,Southern City,1,1199.1333,41.3614,102.6891,6.2144,95.3601,14.7587,2574.7595,9.8789,12.2099,5.98,0,71.8939,93.0842,10.617,10.635,10.3556,99.9395,99.4138,99.9006,0.0041,0.3837,12.0717,22.2338,-109.8579,2.1082,1.9944,5.8491,0.2114,0.604,100
