Date,NB-IoT Cell Group,Integrity,L.NB.Traffic.User.Avg,L.NB.Traffic.User.Max,RRC Setup Success Rate (NB-IoT),Downlink UE throughput (NB-IoT),Uplink UE throughput (NB-IoT),Service Drop Rate (NB-IoT),Downlink Packet Loss Rate (NB-IoT),Uplink Residual Block Error Rate (NB-IoT),Downlink SRB Packet Loss Rate (NB-IoT),NB-IoT RACH Success Rate(%),NB-IoT RACH Success Rate(%) Cov-Lvl 0,NB-IoT RACH Success Rate(%) Cov-Lvl 1
9/11/2023,Southern Region,45180Southern Region,15714.4379,195190,98.6964,1.3128,0.9849,0.0254,0,4.8961,0,16.3944,34.6206,3.0484
9/11/2023,Western Region,45180Western Region,1870.072,33724,98.1318,1.4744,1.0677,0.0184,0.0001,1.8543,0.0001,43.6666,59.2187,8.2696
9/11/2023,Abha,45180Abha,869.033,11048,99.1966,1.5397,0.9127,0.0087,0.0001,9.0037,0.0001,4.8537,17.0191,0.9115
9/11/2023,Khamis Mushait,45180Khamis Mushait,896.3372,12017,99.4981,2.9214,1.629,0.0131,0,8.6559,0,4.4992,15.9269,0.6396
9/11/2023,Jizan,45180Jizan,735.9758,8501,99.6107,2.5298,1.8178,0.0068,0,6.1428,0,8.599,16.7403,1.4631
9/11/2023,Najran,45180Najran,848.5017,13040,99.7282,2.893,2.0101,0.0062,0,1.6723,0,43.4596,57.3044,8.3972
9/11/2023,Bishah,45180Bishah,603.1503,9001,99.4602,1.3455,1.0056,0.0066,0,5.7887,0,12.3584,33.3512,2.0007
9/11/2023,Muhayel,45180Muhayel,592.2818,5147,98.5052,0.9384,0.893,0.0269,0,2.1287,0,40.6287,58.1314,11.9565
9/11/2023,Abu Arish,45180Abu Arish,384.4884,3928,99.677,3.7127,1.8891,0.0014,0,6.7329,0,7.5967,14.7399,1.588
9/11/2023,Sabya,45180Sabya,325.9389,3853,99.8164,5.0082,2.3297,0.001,0.0001,5.6397,0.0001,10.0773,17.6251,1.7703
9/11/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45180Cluster=Aseer CL2,Rule Name=Opt Clusters",1805.8164,23233,99.2536,2.0423,1.3035,0.0145,0,7.4942,0,7.3635,22.7453,1.2161
9/11/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45180Cluster=Jizan CL2,Rule Name=Opt Clusters",3105.0565,31431,98.3736,1.065,0.8301,0.0334,0,4.2043,0,20.8494,32.608,5.8432
9/11/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45180Cluster=Aseer CL1,Rule Name=Opt Clusters",1623.829,19717,98.8425,1.0852,0.7871,0.0156,0,8.26,0,7.0322,22.0349,1.3271
9/11/2023,"Cluster=Aseer CL3,Rule Name=Opt Clusters","45180Cluster=Aseer CL3,Rule Name=Opt Clusters",2723.8376,32783,97.6704,1.0749,0.8262,0.0439,0,2.9769,0,32.2988,46.7058,9.577
9/11/2023,"Cluster=Aseer CL4,Rule Name=Opt Clusters","45180Cluster=Aseer CL4,Rule Name=Opt Clusters",1944.6107,31128,99.15,1.9243,1.2861,0.0095,0,3.341,0,23.8957,49.0163,3.8671
9/11/2023,"Cluster=Jizan CL1,Rule Name=Opt Clusters","45180Cluster=Jizan CL1,Rule Name=Opt Clusters",2337.4501,27314,99.1584,1.6001,1.1915,0.0171,0,4.1253,0,17.7425,29.6227,3.8023
9/11/2023,"Cluster=Najran CL1,Rule Name=Opt Clusters","45180Cluster=Najran CL1,Rule Name=Opt Clusters",1472.0574,21772,99.0561,1.5356,1.257,0.0335,0.0001,1.4175,0.0001,50.5072,65.1514,11.028
9/11/2023,"Cluster=Najran CL2,Rule Name=Opt Clusters","45180Cluster=Najran CL2,Rule Name=Opt Clusters",426.2646,4706,98.7381,0.8351,0.7986,0.0243,0.0001,1.4253,0.0001,57.6952,70.7814,19.1818
9/11/2023,Aseer Province,45180Aseer Province,8100.8578,106781,98.6404,1.3904,0.9906,0.0228,0,5.7606,0,12.8825,32.8571,2.2444
9/11/2023,Jazan Province,45180Jazan Province,5434.498,58580,98.7234,1.2477,0.9545,0.0262,0,4.1829,0,19.3493,31.1599,4.8595
9/11/2023,Najran Province,45180Najran Province,1903.5667,26723,98.9875,1.2841,1.1001,0.0315,0.0001,1.4173,0.0001,52.3157,66.599,12.9738
9/12/2023,Southern Region,45181Southern Region,19817.5078,213442,97.8621,0.7973,0.6998,0.0432,0.0001,4.6428,0.0001,19.9018,39.7176,4.2265
9/12/2023,Western Region,45181Western Region,2323.0166,42071,97.3217,1.0453,0.8374,0.0313,0.0002,1.6911,0.0002,47.5445,62.1068,10.3224
9/12/2023,Abha,45181Abha,1080.3753,11716,98.728,0.8716,0.6622,0.016,0.0001,8.6055,0.0001,6.2328,20.6846,1.3947
9/12/2023,Khamis Mushait,45181Khamis Mushait,1085.5446,13475,99.2608,1.8287,1.2242,0.0178,0,8.2065,0,5.7532,20.1235,0.8847
9/12/2023,Jizan,45181Jizan,882.8593,8975,99.3871,1.6724,1.3759,0.0089,0.0001,5.7254,0.0001,9.6734,18.1442,1.8032
9/12/2023,Najran,45181Najran,1125.6858,15866,99.2393,1.1114,1.0585,0.0244,0.0001,2.2405,0.0001,39.9671,58.9145,7.639
9/12/2023,Bishah,45181Bishah,832.6697,9206,98.4076,0.5526,0.5399,0.0315,0,5.5618,0,17.641,40.2397,3.8663
9/12/2023,Muhayel,45181Muhayel,690.5588,6326,97.7979,0.5867,0.6243,0.0407,0.0001,2.3592,0.0001,41.4578,58.5012,13.2417
9/12/2023,Abu Arish,45181Abu Arish,489.9535,4942,99.3878,1.6714,1.1705,0.0062,0.0001,6.3465,0.0001,9.843,19.2014,2.22
9/12/2023,Sabya,45181Sabya,403.124,4186,99.6735,2.6375,1.6643,0.0033,0,4.9166,0,12.6575,22.6269,2.2731
9/12/2023,"Cluster=Aseer CL2,Rule Name=Opt Clusters","45181Cluster=Aseer CL2,Rule Name=Opt Clusters",2228.4251,25155,98.81,1.181,0.9155,0.0219,0,7.0328,0,9.4534,28.1325,1.7043
9/12/2023,"Cluster=Jizan CL2,Rule Name=Opt Clusters","45181Cluster=Jizan CL2,Rule Name=Opt Clusters",3948.8986,37700,96.9678,0.6461,0.5803,0.0672,0.0001,4.06,0.0001,25.0354,38.4365,7.7018
9/12/2023,"Cluster=Aseer CL1,Rule Name=Opt Clusters","45181Cluster=Aseer CL1,Rule Name=Opt Clusters",2003.4891,20933,98.3564,0.7564,0.6286,0.0238,0.0001,7.7802,0.0001,8.841,26.3133,1.9107
