Date,Time,NB-IoT Cell Group,Integrity,L.NB.Traffic.User.Avg,L.NB.Traffic.User.Max,RRC Setup Success Rate (NB-IoT),Downlink UE throughput (NB-IoT),Uplink UE throughput (NB-IoT),Service Drop Rate (NB-IoT),Downlink Packet Loss Rate (NB-IoT),Uplink Residual Block Error Rate (NB-IoT),Downlink SRB Packet Loss Rate (NB-IoT),NB-IoT RACH Success Rate(%),NB-IoT RACH Success Rate(%) Cov-Lvl 0,NB-IoT RACH Success Rate(%) Cov-Lvl 1
2023-11-14,00:00,Southern Region,1,8929.9014,38932,99.029,1.0339,0.7883,0.0369,0.0001,6.2523,0.0001,10.1654,26.851,1.9604
2023-11-14,00:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,848.9741,4578,99.545,2.5179,1.2402,0.0037,0,8.5036,0,3.7499,14.2494,0.6834
2023-11-14,00:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,1981.6447,7718,99.0368,1.0693,0.8481,0.0538,0.0002,5.0084,0.0002,15.8455,29.5033,4.0073
2023-11-14,00:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,1049.0817,5166,98.9166,0.4537,0.3896,0.0309,0,9.5116,0,4.6212,16.4581,1.0141
2023-11-14,00:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,1402.9422,5357,97.9334,0.8306,0.5849,0.046,0.0001,4.2344,0.0001,21.1432,30.9865,7.9461
2023-11-14,00:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,934.3438,4688,99.3975,2.733,1.5736,0.0025,0.0001,4.2255,0.0001,14.0373,38.5541,2.1079
2023-11-14,00:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,1512.9121,5789,99.3989,1.3207,1.0343,0.029,0.0002,5.2649,0.0002,12.5223,29.5945,2.044
2023-11-14,00:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,801.1832,3663,98.8829,0.5526,0.4955,0.108,0.0001,1.9239,0.0001,42.1779,60.4879,10.3215
2023-11-14,00:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,129.6978,841,99.9687,8.1758,2.3478,0,0,0.7026,0,60.4897,70.6128,19.6764
2023-11-14,00:00,Aseer Province,1,4247.8684,19834,98.8669,1.0182,0.7487,0.0223,0,7.1173,0,7.5765,22.8683,1.514
2023-11-14,00:00,Jazan Province,1,3481.1079,13452,99.214,1.1474,0.8932,0.0419,0.0002,5.1586,0.0002,14.1312,29.2601,2.9953
2023-11-14,00:00,Najran Province,1,931.8031,4514,99.0993,0.6822,0.58,0.0859,0.0001,1.6952,0.0001,44.334,61.9323,10.9719
2023-11-14,01:00,Southern Region,1,8236.6689,53128,99.4042,3.4104,1.6187,0.0071,0,6.3205,0,9.446,24.8178,1.5062
2023-11-14,01:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,875.7341,6610,99.6446,5.4247,2.2235,0.0087,0.0001,8.3933,0.0001,3.6923,14.0464,0.5523
2023-11-14,01:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,1692.1687,9453,99.573,4.248,1.8843,0.0154,0.0001,5.1179,0.0001,14.1649,26.7512,2.8714
2023-11-14,01:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,868.1595,6186,99.4305,3.4053,1.3696,0.0058,0,9.5448,0,3.883,14.963,0.5943
2023-11-14,01:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,1240.7147,6874,98.7576,1.7499,0.9343,0.0059,0,4.1967,0,20.814,30.4944,7.1425
2023-11-14,01:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,806.1993,5506,99.4475,5.0622,1.9046,0.0008,0,4.7182,0,11.9074,32.9473,1.7424
2023-11-14,01:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,1641.7204,9989,99.2994,3.0246,1.9202,0.0065,0,5.1915,0,12.3266,25.6417,1.971
2023-11-14,01:00,"Cluster=Najran CL1,Rule Name=Opt Clusters",1,719.6607,5522,99.7984,7.0578,3.4682,0.0027,0,1.1608,0,51.5843,63.9264,11.2156
2023-11-14,01:00,"Cluster=Najran CL2,Rule Name=Opt Clusters",1,104.57,943,99.985,8.8806,3.6694,0,0,0.6904,0,63.9035,68.4898,23.165
2023-11-14,01:00,Aseer Province,1,3791.9156,25184,99.2691,2.9119,1.3188,0.0053,0,7.2683,0,6.8739,21.1709,1.1693
2023-11-14,01:00,Jazan Province,1,3331.4508,19421,99.4485,3.5567,1.8872,0.0112,0.0001,5.1734,0.0001,13.1724,26.1105,2.3905
2023-11-14,01:00,Najran Province,1,825.5609,6478,99.8264,7.3143,3.485,0.0022,0,1.0808,0,53.4695,64.7328,12.1259
2023-11-14,02:00,Southern Region,1,5765.6905,29451,99.3697,4.1425,1.3463,0.0071,0,7.0555,0,7.0704,19.2832,1.1722
2023-11-14,02:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,564.0506,3240,99.6925,5.3252,1.4861,0.0087,0,8.7397,0,2.6582,9.7049,0.4415
2023-11-14,02:00,"Cluster=Jizan CL2,Rule Name=Opt Clusters",1,1219.9356,4999,99.5993,4.4208,1.5143,0.0133,0,6.0989,0,10.2883,20.0306,2.1503
2023-11-14,02:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,607.5183,3569,98.8266,4.0372,1.0397,0.0115,0,10.2606,0,2.6223,9.7305,0.467
2023-11-14,02:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,889.5792,4406,98.8649,2.2434,0.8884,0.0035,0,4.7346,0,16.8248,24.9607,6.1254
