Region,Week,eNodeB Name,Sector id,DL_PRB_Utilization,DL PRB Utilization Range,Users,DL User Thrpt
South Region,WK46_2023,S3324-R4GF-HU-01-AHB,1,99.9,Utiliz > 80%,77.4,2.11
South Region,WK46_2023,S6377-R4GF-HU-HW-KBH,1,99.82,Utiliz > 80%,25.82,3.19
South Region,WK46_2023,S6373-R4GF-HU-HW-KBH,1,99.82,Utiliz > 80%,85,1.29
South Region,WK46_2023,S6376-R4GF-HU-HW-KBH,1,99.79,Utiliz > 80%,19.57,2.65
South Region,WK46_2023,S6322-RGUF-HU-HW-NJR,1,99.73,Utiliz > 80%,114.65,1.69
South Region,WK46_2023,S3061-RUFX-HU-HW-RJA,1,99.7,Utiliz > 80%,179.37,2.01
South Region,WK46_2023,S6372-R4GF-HU-HW-KBH,1,99.69,Utiliz > 80%,35.18,3.02
South Region,WK46_2023,S6375-R4GF-HU-HW-KBH,0,99.65,Utiliz > 80%,15.47,3.15
South Region,WK46_2023,S6361-RGUF-HU-HW-KBH,0,99.64,Utiliz > 80%,356.02,2.48
South Region,WK46_2023,S6323-RGUF-HU-HW-NJR,1,99.53,Utiliz > 80%,58.63,2.4
South Region,WK46_2023,S1837-RGFX-HU-01-HRT,1,99.49,Utiliz > 80%,130.65,4.46
South Region,WK46_2023,S6324-RGUF-HU-HW-NJR,0,99.48,Utiliz > 80%,47.61,3.21
South Region,WK46_2023,S6044-RGUF-HU-01-SUB,1,99.45,Utiliz > 80%,38.65,3.27
South Region,WK46_2023,S6149-R4GF-HU-01-EDB,2,99.41,Utiliz > 80%,64.06,3.41
South Region,WK46_2023,S6111-RGUF-HU-01-DYR,1,99.41,Utiliz > 80%,151.11,2.71
South Region,WK46_2023,S1722-R4GF-HU-01-SAB,1,99.38,Utiliz > 80%,42.15,2.4
South Region,WK46_2023,S1734-RUFX-HU-01-DYR,1,99.37,Utiliz > 80%,83.1,1.47
South Region,WK46_2023,S4939-R4GF-HU-HW-DAJ,1,99.36,Utiliz > 80%,77.84,2
South Region,WK46_2023,S6181-RGUF-HU-01-AHB,1,99.36,Utiliz > 80%,69.81,2.99
South Region,WK46_2023,S6140-R4GF-HU-01-DYR,0,99.35,Utiliz > 80%,211.63,3.08
South Region,WK46_2023,S6327-RGUF-HU-HW-NJR,0,99.3,Utiliz > 80%,36.65,2.24
South Region,WK46_2023,S3051-RUFX-HU-HW-AHB,1,99.21,Utiliz > 80%,197.46,3.75
South Region,WK46_2023,S3031-RUFX-HU-HW-MHL,2,99.2,Utiliz > 80%,171.57,4.36
South Region,WK46_2023,S4941-R4GF-HU-HW-NJR,2,99.16,Utiliz > 80%,160.51,3.43
South Region,WK46_2023,S4941-R4GF-HU-HW-NJR,1,99.14,Utiliz > 80%,142.3,2.81
South Region,WK46_2023,S6138-R4GF-HU-01-DYR,1,99.1,Utiliz > 80%,36.24,5.69
South Region,WK46_2023,S1689-RGUF-HU-01-DAJ,1,99.06,Utiliz > 80%,135.85,1.64
South Region,WK46_2023,S6270-RGUL-HU-01-ABA,1,99.04,Utiliz > 80%,162.79,2.18
South Region,WK46_2023,S6122-RUFX-HU-01-DYR,2,99,Utiliz > 80%,107.32,1.42
South Region,WK46_2023,S6198-RULX-HU-01-AHB,1,99,Utiliz > 80%,570.28,4.5
South Region,WK46_2023,S6323-RGUF-HU-HW-NJR,0,98.96,Utiliz > 80%,48.76,4.91
South Region,WK46_2023,S6267-RUFX-HU-HW-ABA,1,98.93,Utiliz > 80%,92.99,5.9
