Date,LTE Cell Group,Integrity,VOLTE Traffic Erl,Connected User Avg (VoIP),DL Active User Avg (VoIP),DL Throughput QCI.1 Mbps (VoIP),SRVCC Success Rate Overall,SRVCC Success Rate Overall (E2G),SRVCC Success Rate Overall (E2W),Mobily VoLTE Call Drop%,E-RAB Setup Success Rate QCI.1 (VoIP),UL Mute call %(%),DL Mute call %(%),UL Packet Loss Rate QCI.1 (VoIP),UL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.1 (VoIP),E2E VQI Avg (VoIP),DL VQI Avg (VoIP),UL VQI Avg (VoIP),QCI1 DL IBLER(%),QCI1 UL IBLER(%),UEs in the DRX sleep state Ratio,SRVCC Failuers,L.E-RAB.AbnormRel.MMETot.VoIP,L.E-RAB.AbnormRel.MME.HOOut.QCI.1,L.E-RAB.AbnormRel.MME.EUtranGen.VoIP,L.Voice.DL.PktNum.AMRNB.12.2,L.Voice.DL.PktNum.AMRWB.23.85,L.Cell.Unavail.Dur.Sys(s),Cell.Availability(%),Availability Duration(s),VOLTE Thrpt Lic Failures,SRVCC E2W Failures,SRVCC E2G Failures
9/11/2023,Khamis Mushait,45180Khamis Mushait,16697.1572,786.4176,228.4961,0.4683,96.823,94.4812,97.0117,0.2573,99.9655,0.0496,0.043,0.0526,0.0516,0.0096,0.0301,3.4728,3.4896,3.5127,1.8169,3.2029,47.3232,193,2238,126,1383,1414935046,422691476,168100,99.9031,165466670,0,168,25
9/11/2023,Bishah,45180Bishah,3029.6509,142.1075,57.2256,0.5168,98.744,99.3421,98.641,0.2216,99.9743,0.0403,0.0374,0.0301,0.0019,0.0145,0.0233,3.4479,3.4631,3.471,3.0736,3.3681,72.4113,13,382,28,267,266670249,66491381,19855,99.9671,57781745,0,12,1
9/11/2023,Southern Region_FDD,45180Southern Region_FDD,107717.5734,5073.9468,1822.3509,0.4984,97.7829,96.3854,98.0258,0.2965,99.9689,0.0645,0.0557,0.0606,0.0246,0.0231,0.0307,3.4639,3.4805,3.4865,2.2716,3.542,71.0224,2266,19738,1656,12364,8686408567,2447108804,1297980,99.8163,700644775,2,1719,547
9/11/2023,Southern Region_TDD,45180Southern Region_TDD,310.0459,20.4139,7.0109,0.4811,97.049,97.9136,96.9077,1.4822,99.9486,0.5197,0.1726,0.2579,0.0158,0.0428,0.1642,3.4217,3.4399,3.4142,3.6024,4.9526,60.3307,141,593,301,410,23163484,5531004,1050790,99.8197,533664385,0,127,14
9/11/2023,Western Region_FDD,45180Western Region_FDD,14215.2689,665.4493,253.4327,0.5716,96.143,98.0913,95.9394,0.5783,99.9723,0.108,0.0945,0.0897,0.114,0.0763,0.027,3.6072,3.6274,3.5994,2.6782,3.8375,63.5921,1367,7826,967,2251,711188457,499136777,1029055,99.0738,107795055,2,1303,64
9/11/2023,Western Region_TDD,45180Western Region_TDD,27.3158,1.2323,0.4885,0.4783,95.8599,100,94.6502,1.5098,99.7504,0.2925,0.3596,0.0829,0.009,0.1018,0.2045,3.4678,3.4938,3.4462,4.1496,3.679,67.543,13,29,8,16,1300707,390479,0,100,2073600,0,13,0
9/11/2023,Abha,45180Abha,9967.8274,466.8184,134.233,0.4707,96.5285,95,96.6033,0.2322,99.9696,0.0398,0.041,0.0421,0.0548,0.0127,0.028,3.4705,3.4882,3.5167,2.0014,2.865,67.9703,134,1437,52,914,845868194,250906035,24780,99.9848,154627260,0,125,9
9/11/2023,Southern Region All,45180Southern Region All,122270.204,5761.0423,2083.283,0.5067,97.3469,96.7495,97.4399,0.3324,99.9679,0.0705,0.0606,0.0645,0.0334,0.0298,0.0306,3.4806,3.4976,3.4993,2.3215,3.5809,70.0573,3787,28186,2932,15041,9422061215,2952167064,3377825,99.7593,1344177815,4,3162,625
9/11/2023,Southern Region,45180Southern Region,108027.6193,5094.3607,1829.3618,0.4984,97.7501,96.4503,97.9754,0.3042,99.9675,0.0656,0.056,0.0612,0.024,0.0245,0.0311,3.4638,3.4803,3.4863,2.2742,3.5462,70.9818,2407,20331,1957,12774,8709572051,2452639808,2348770,99.8179,1234309160,2,1846,561
9/11/2023,Muhayel,45180Muhayel,1981.5685,92.9403,36.4579,0.4972,97.6327,94.7368,97.7997,0.3797,99.956,0.067,0.051,0.0619,0.0044,0.0201,0.0411,3.431,3.445,3.4475,2.187,3.819,70.6551,33,481,40,265,164751346,34953138,110950,99.7165,37279545,0,29,4
