Date,Time,LTE Cell Group,Integrity,VOLTE Traffic Erl,Connected User Avg (VoIP),DL Active User Avg (VoIP),DL Throughput QCI.1 Mbps (VoIP),SRVCC Success Rate Overall,SRVCC Success Rate Overall (E2G),SRVCC Success Rate Overall (E2W),Mobily VoLTE Call Drop%,E-RAB Setup Success Rate QCI.1 (VoIP),UL Mute call %(%),DL Mute call %(%),UL Packet Loss Rate QCI.1 (VoIP),UL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.5 (VoIP),DL Packet Loss Rate QCI.1 (VoIP),E2E VQI Avg (VoIP),DL VQI Avg (VoIP),UL VQI Avg (VoIP),QCI1 DL IBLER(%),QCI1 UL IBLER(%),UEs in the DRX sleep state Ratio,SRVCC Failuers,L.E-RAB.AbnormRel.MMETot.VoIP,L.E-RAB.AbnormRel.MME.HOOut.QCI.1,L.E-RAB.AbnormRel.MME.EUtranGen.VoIP,L.Voice.DL.PktNum.AMRNB.12.2,L.Voice.DL.PktNum.AMRWB.23.85,L.E-RAB.FailEst.NoRadioRes.DLThrpLic.VoIP,L.E-RAB.FailEst.NoRadioRes.ULThrpLic.VoIP,L.E-RAB.FailEst.NoRadioRes.ThrpLic.VoIP,L.Cell.Unavail.Dur.Sys(s),Cell.Availability(%),Availability Duration(s),Handover Preparation Success Rate (all)(%),Incoming HO Exec Success Rate(%),Incoming HO Prep Success Rate(%),CA DL Traffic Volume(GB),3CC CA Traffic Volume GB,CA DL Traffic %,3CC CA DL Traffic %,L.Traffic.User.PCell.DL.Avg,CA DL User Throughput (Mbps),3CC.CA DL User Throughput,CA Drop Rate%,CA Add SR%,CA Activation SR%,UL_PRB_Utilization,4G_H_DL Cell Throughput (Mbps)_NPM,4G_H_UL Cell Throughput (Mbps)_NPM,Cell.Availability(%),Availability Duration(s)
2023-11-14,00:00,Southern Region,1,3141.7462,3458.7636,1253.1584,0.5135,97.1236,95.7187,97.3656,0.3087,99.9516,0.0636,0.0655,0.0516,0.0074,0.02,0.0227,3.5655,3.5949,3.6022,2.2137,3.5821,71.9913,64,324,33,196,171725125,79022725,0,0,0,154200,99.7239,53815650,99.9006,99.2797,99.9997,29136.0333,10594.9918,45.9654,17.9474,65185.4039,30.6602,32.2563,0.0403,99.6011,99.6605,19.5511,32.6073,4.7788,99.7239,53815650
2023-11-14,00:00,Southern Remote,1,1217.41,1339.2714,485.4802,0.5185,97.5182,95.7447,97.8855,0.3518,99.9427,0.0639,0.0716,0.0592,0.0142,0.0267,0.0206,3.5577,3.5879,3.5966,2.4234,3.6654,69.7602,34,151,25,82,61795847,27547963,0,0,0,21825,99.8941,20399625,99.9074,98.5844,99.999,13107.2136,5264.1204,45.8416,19.7686,25577.4978,28.8045,30.9731,0.0294,99.5314,99.7828,17.6073,35.2555,4.6773,99.8941,20399625
2023-11-14,00:00,Southern City,1,1853.4822,2040.1258,740.7152,0.5104,97.0284,97.2222,97.0085,0.276,99.9569,0.0621,0.0603,0.0464,0.0016,0.0126,0.0237,3.571,3.5996,3.6055,2.0943,3.5178,73.5078,23,167,8,110,105912364,49695931,0,0,0,98640,99.6844,29658960,99.8951,99.6099,100,14345.3153,4856.5176,46.357,16.8512,36716.8169,32.8993,34.0991,0.0435,99.6418,99.5851,20.2963,30.1649,4.7716,99.6844,29658960
2023-11-14,00:00,"Cluster=Aseer CL1,Rule Name=Opt Clusters",1,350.1188,381.9532,139.6707,0.532,98.7421,100,98.6667,0.3329,99.864,0.0451,0.057,0.0461,0.0077,0.0259,0.0234,3.587,3.6201,3.6305,1.8519,3.5735,73.6518,2,37,2,22,19575710,11290049,0,0,0,95,99.999,8913505,99.9988,99.5933,100,3117.7659,1086.3893,51.7343,19.3562,8496.128,37.1533,35.1015,0.0367,99.4871,99.5878,16.6095,29.1601,4.6635,99.999,8913505
2023-11-14,00:00,"Cluster=Aseer CL2,Rule Name=Opt Clusters",1,646.5105,706.0348,254.0136,0.5168,94.9612,88,95.7082,0.322,99.946,0.0411,0.0458,0.045,0.0087,0.0218,0.0203,3.5794,3.6075,3.6115,1.8878,3.5987,72.5971,13,60,6,40,36533826,18223004,0,0,0,8220,99.9197,9862980,99.6809,99.4792,99.9996,5584.1232,2112.645,49.7932,20.2275,15232.9077,30.5846,31.1468,0.0442,99.6797,99.5628,21.649,29.4873,4.6803,99.9197,9862980
2023-11-14,00:00,"Cluster=Aseer CL3,Rule Name=Opt Clusters",1,188.9223,204.988,75.4945,0.5238,96.9697,100,96.5278,0.6373,100,0.0417,0.0525,0.0487,0.0045,0.0246,0.0151,3.5505,3.5767,3.5995,2.2215,3.4131,71.1952,5,33,7,20,10024363,4023718,0,0,0,5000,99.8937,4624600,99.9987,98.7991,100,2640.5844,852.6063,43.6446,15.1314,4522.6538,31.3191,34.9664,0.0433,99.639,99.7389,17.9316,35.5666,4.745,99.8937,4624600
2023-11-14,00:00,"Cluster=Jizan CL1,Rule Name=Opt Clusters",1,603.9187,671.8537,235.0985,0.5103,98.4155,97.619,98.5537,0.3184,99.9792,0.0765,0.0815,0.0574,0.0069,0.0096,0.0315,3.5717,3.6003,3.5955,2.5091,3.3374,72.4682,9,68,6,39,31980263,15633239,0,0,0,6130,99.9159,7021070,99.8455,99.0626,99.9987,4235.8608,1821.5529,45.2752,20.9055,9611.4511,30.3588,32.2975,0.0334,99.2532,99.7554,19.9157,32.8288,4.599,99.9159,7021070
2023-11-14,00:00,"Cluster=USF8 CL1,Rule Name=Opt Clusters",1,0.1322,0.1453,0.062,0.7851,100,,100,0,100,0,0,0,0.0316,0,0,4.0584,4.14,4.14,0.8151,3.2333,82.9004,0,0,0,0,0,11588,0,0,0,0,100,39600,100,98.3607,100,6.2516,3.3215,32.3077,18.4313,12.2536,43.4526,32.8811,0,99.6753,99.9172,15.3551,33.3028,3.8536,100,39600
2023-11-14,00:00,"Cluster=USF8 CL2,Rule Name=Opt Clusters",1,0.1002,0.1377,0.0157,0.8167,,,,0,100,0,0,0.0257,0,0,0,4.1329,4.14,4.1156,1.7235,3.4024,60.2878,0,0,0,0,0,11359,0,0,0,0,100,14400,100,100,100,0,0,0,0,0,,,,,,7.694,26.6979,3.6737,100,14400
2023-11-14,00:00,"Cluster=Aseer CL4,Rule Name=Opt Clusters",1,215.8264,232.8325,86.6843,0.505,97.0588,100,96.5986,0.2671,100,0.037,0.0348,0.0495,0.0098,0.0138,0.0145,3.5476,3.576,3.5782,2.8515,3.2791,71.9126,5,17,3,9,11752318,4212635,0,0,0,395,99.9924,5072005,99.9933,99.1902,100,2017.667,717.2903,37.739,14.4057,4324.3797,41.7282,39.2352,0.0091,99.7968,99.7888,14.5233,33.7489,4.6676,99.9924,5072005
