Sector ,lat,long,azimuth,Cluster
W1251_0,22.98226,41.2204,50,USF8
W1251_1,22.98226,41.2204,150,USF8
W1251_2,22.98226,41.2204,250,USF8
S1556_0,18.31828,42.34469,40,Remote Aseer
S1556_1,18.31828,42.34469,180,Remote Aseer
S1556_2,18.31828,42.34469,270,Remote Aseer
S1632_0,18.29092,42.37076,0,Remote Aseer
S1632_1,18.29092,42.37076,120,Remote Aseer
S1632_2,18.29092,42.37076,210,Remote Aseer
S1500_0,18.22323,42.579665,0,Abha
S1500_1,18.22323,42.579665,120,Abha
S1500_2,18.22323,42.579665,240,Abha
S1501_0,18.24404,42.47349,0,Abha
S1501_1,18.24404,42.47349,100,Abha
S1501_2,18.24404,42.47349,180,Abha
S1502_0,18.2402,42.6478,0,Abha
S1502_1,18.2402,42.6478,120,Abha
S1502_2,18.2402,42.6478,240,Abha
S1503_0,18.24971,42.59863,0,Abha
S1503_1,18.24971,42.59863,120,Abha
S1503_2,18.24971,42.59863,240,Abha
S1504_0,17.748437,41.93725,30,Remote Aseer
S1504_1,17.748437,41.93725,130,Remote Aseer
S1504_2,17.748437,41.93725,310,Remote Aseer
S1505_0,18.208342,42.645875,0,Remote Aseer
S1505_1,18.208342,42.645875,100,Remote Aseer
S1505_2,18.208342,42.645875,240,Remote Aseer
S1506_0,18.273104,42.54782,0,Remote Aseer
S1506_1,18.273104,42.54782,120,Remote Aseer
S1506_2,18.273104,42.54782,240,Remote Aseer
S1507_0,18.18501,42.87629,90,Remote Aseer
S1507_1,18.18501,42.87629,210,Remote Aseer
S1507_2,18.18501,42.87629,330,Remote Aseer
S1508_0,17.714981,42.052701,70,Remote Jizan
S1508_1,17.714981,42.052701,140,Remote Jizan
S1508_2,17.714981,42.052701,270,Remote Jizan
S1509_0,19.09982,42.1297,0,Remote Aseer
S1509_1,19.09982,42.1297,120,Remote Aseer
S1509_2,19.09982,42.1297,240,Remote Aseer
S1510_0,19.171053,42.129366,0,Remote Aseer
S1510_1,19.171053,42.129366,140,Remote Aseer
S1510_2,19.171053,42.129366,240,Remote Aseer
S1511_0,19.16917,42.09781,0,Remote Aseer
S1511_1,19.16917,42.09781,120,Remote Aseer
S1511_2,19.16917,42.09781,240,Remote Aseer
S1512_0,18.126117,42.789334,70,Remote Aseer
S1512_1,18.126117,42.789334,250,Remote Aseer
S1512_2,18.126117,42.789334,320,Remote Aseer
S1513_0,18.799928,42.234324,0,Remote Aseer
S1513_1,18.799928,42.234324,100,Remote Aseer
S1513_2,18.799928,42.234324,180,Remote Aseer
S1514_0,18.734941,42.261161,0,Remote Aseer
S1514_1,18.734941,42.261161,120,Remote Aseer
S1514_2,18.734941,42.261161,240,Remote Aseer
S1515_0,18.87707,42.22258,50,Remote Aseer
S1515_1,18.87707,42.22258,150,Remote Aseer
S1515_2,18.87707,42.22258,320,Remote Aseer
S1516_0,19.91073,42.60418,0,Remote Aseer
S1516_1,19.91073,42.60418,120,Remote Aseer
S1516_2,19.91073,42.60418,240,Remote Aseer
S1517_0,20.006743,42.62204,20,Bishah
S1517_1,20.006743,42.62204,200,Bishah
S1517_2,20.006743,42.62204,270,Bishah
S1518_0,20.026161,42.57911,60,Bishah
S1518_1,20.026161,42.57911,200,Bishah
S1518_2,20.026161,42.57911,280,Bishah
S1520_0,17.38332,42.45862,0,Remote Jizan
S1520_1,17.38332,42.45862,120,Remote Jizan
S1520_2,17.38332,42.45862,240,Remote Jizan
S1521_0,17.17421,42.73864,50,Remote Jizan
S1521_1,17.17421,42.73864,150,Remote Jizan
S1521_2,17.17421,42.73864,250,Remote Jizan
S1523_0,16.804089,42.65411,10,Remote Jizan
S1523_1,16.804089,42.65411,160,Remote Jizan
S1523_2,16.804089,42.65411,300,Remote Jizan
S1525_0,16.87399,42.58257,0,Jizan
S1525_1,16.87399,42.58257,110,Jizan
S1525_2,16.87399,42.58257,230,Jizan
S1529_0,16.938417,42.577217,10,Jizan
S1529_1,16.938417,42.577217,140,Jizan
S1529_2,16.938417,42.577217,240,Jizan
S1530_0,18.22356,42.71813,0,Remote Aseer
S1530_1,18.22356,42.71813,120,Remote Aseer
S1530_2,18.22356,42.71813,270,Remote Aseer
S1531_0,18.36307,42.7028,0,Remote Aseer
S1531_1,18.36307,42.7028,120,Remote Aseer
S1531_2,18.36307,42.7028,240,Remote Aseer
S1532_0,18.34368,42.65971,0,Khamis Mushait
S1532_1,18.34368,42.65971,120,Khamis Mushait
S1532_2,18.34368,42.65971,240,Khamis Mushait
S1533_0,18.27511,42.72341,30,Khamis Mushait
S1533_1,18.27511,42.72341,110,Khamis Mushait
S1533_2,18.27511,42.72341,240,Khamis Mushait
S1534_0,18.28535,42.69608,70,Khamis Mushait
S1534_1,18.28535,42.69608,180,Khamis Mushait
S1534_2,18.28535,42.69608,320,Khamis Mushait
S1535_0,18.35973,42.68055,0,Remote Aseer
S1535_1,18.35973,42.68055,120,Remote Aseer
S1535_2,18.35973,42.68055,250,Remote Aseer
S1536_0,18.26226,42.74375,0,Khamis Mushait
S1536_1,18.26226,42.74375,120,Khamis Mushait
S1536_2,18.26226,42.74375,240,Khamis Mushait
S1537_0,18.27014,42.67036,0,Khamis Mushait
S1537_1,18.27014,42.67036,120,Khamis Mushait
S1537_2,18.27014,42.67036,240,Khamis Mushait
S1538_0,18.27378,42.79589,0,Khamis Mushait
S1538_1,18.27378,42.79589,120,Khamis Mushait
S1538_2,18.27378,42.79589,240,Khamis Mushait
S1539_0,18.255458,42.691958,0,Remote Aseer
S1539_1,18.255458,42.691958,100,Remote Aseer
S1539_2,18.255458,42.691958,230,Remote Aseer
S1540_0,18.27098,42.73339,20,Khamis Mushait
S1540_1,18.27098,42.73339,120,Khamis Mushait
S1540_2,18.27098,42.73339,230,Khamis Mushait
S1541_0,18.2749,42.6998,120,Remote Aseer
S1541_1,18.2749,42.6998,220,Remote Aseer
S1541_2,18.2749,42.6998,320,Remote Aseer
S1542_0,18.31824,42.65739,0,Remote Aseer
S1542_1,18.31824,42.65739,120,Remote Aseer
S1542_2,18.31824,42.65739,240,Remote Aseer
S1544_0,18.586499,42.027754,0,Muhayel
S1544_1,18.586499,42.027754,120,Muhayel
S1544_2,18.586499,42.027754,240,Muhayel
S1545_0,18.522371,42.0965,0,Muhayel
S1545_1,18.522371,42.0965,120,Muhayel
S1545_2,18.522371,42.0965,240,Muhayel
S1546_0,18.558993,42.074748,0,Muhayel
S1546_1,18.558993,42.074748,120,Muhayel
S1546_2,18.558993,42.074748,240,Muhayel
S1547_0,18.28139,42.600765,90,Remote Aseer
S1547_1,18.28139,42.600765,240,Remote Aseer
S1547_2,18.28139,42.600765,340,Remote Aseer
S1548_0,18.54054,42.05229,0,Muhayel
S1548_1,18.54054,42.05229,120,Muhayel
S1548_2,18.54054,42.05229,240,Muhayel
S1549_0,18.50954,42.02978,0,Muhayel
S1549_1,18.50954,42.02978,120,Muhayel
S1549_2,18.50954,42.02978,240,Muhayel
S1550_0,17.51214,44.3542,0,Najran
S1550_1,17.51214,44.3542,150,Najran
S1550_2,17.51214,44.3542,240,Najran
S1551_0,17.54451,44.220207,0,Najran
S1551_1,17.54451,44.220207,120,Najran
S1551_2,17.54451,44.220207,270,Najran
S1552_0,17.63802,44.496669,0,Remote Najran
S1552_1,17.63802,44.496669,120,Remote Najran
S1552_2,17.63802,44.496669,240,Remote Najran
S1553_0,17.844775,44.409233,0,Remote Najran
S1553_1,17.844775,44.409233,120,Remote Najran
S1553_2,17.844775,44.409233,240,Remote Najran
S1555_0,17.11351,42.65788,0,Sabya
S1555_1,17.11351,42.65788,90,Sabya
S1555_2,17.11351,42.65788,240,Sabya
S1557_0,18.05806,42.700001,0,Remote Aseer
S1557_1,18.05806,42.700001,120,Remote Aseer
S1557_2,18.05806,42.700001,240,Remote Aseer
S1559_0,18.27541,42.51725,0,Remote Aseer
S1559_1,18.27541,42.51725,120,Remote Aseer
S1559_2,18.27541,42.51725,240,Remote Aseer
S1560_0,18.215,42.870555,0,Remote Aseer
S1560_1,18.215,42.870555,120,Remote Aseer
S1560_2,18.215,42.870555,240,Remote Aseer
S1561_0,18.320528,42.695318,30,Khamis Mushait
S1561_1,18.320528,42.695318,160,Khamis Mushait
S1561_2,18.320528,42.695318,240,Khamis Mushait
S1562_0,18.306118,42.704208,0,Khamis Mushait
S1562_1,18.306118,42.704208,100,Khamis Mushait
S1562_2,18.306118,42.704208,200,Khamis Mushait
S1564_0,17.513744,44.336597,0,Najran
S1564_1,17.513744,44.336597,125,Najran
S1564_2,17.513744,44.336597,240,Najran
S1565_0,18.206803,42.559141,30,Abha
S1565_1,18.206803,42.559141,150,Abha
S1565_2,18.206803,42.559141,310,Abha
S1566_0,18.2322,42.5806,0,Abha
S1566_1,18.2322,42.5806,130,Abha
S1566_2,18.2322,42.5806,240,Abha
S1567_0,17.33322,42.52429,40,Remote Jizan
S1567_1,17.33322,42.52429,130,Remote Jizan
S1567_2,17.33322,42.52429,250,Remote Jizan
S1570_0,18.242056,42.510358,0,Abha
S1570_1,18.242056,42.510358,120,Abha
S1570_2,18.242056,42.510358,240,Abha
S1571_0,18.221636,42.55021,0,Abha
S1571_1,18.221636,42.55021,120,Abha
S1571_2,18.221636,42.55021,240,Abha
S1572_0,18.258628,42.620198,0,Abha
S1572_1,18.258628,42.620198,120,Abha
S1572_2,18.258628,42.620198,270,Abha
S1573_0,16.97135,42.81681,0,Abu Arish
S1573_1,16.97135,42.81681,120,Abu Arish
S1573_2,16.97135,42.81681,240,Abu Arish
S1576_0,18.20356,42.49468,0,Abha
